Key,loss p1,loss p2,loss p3,loss p4,loss p5,loss p6,loss p7,loss p8,loss p9,loss p10,loss p11,loss p12,loss p13,loss p14,loss p15,loss p16,loss p17,loss p18,loss p19,loss p20,loss p21,loss p22,loss p23,loss p24,loss p25,loss p26,loss p27,loss p28,loss p29,loss p30,loss p31,loss p32,loss p33,loss p34,loss p35,loss p36,loss p37,loss p38,loss p39,loss p40,loss p41,loss p42,loss p43,loss p44,loss p45,loss p46,loss p47,loss p48,loss p49,loss p50
"k=5, n=5",-0.026614224798870205,-1.3770766453536686e-05,-1.3770765858133673e-05,-0.02351985064338437,-1.3770766494315144e-05,-0.04984544111421005,-0.021483102369487965,-0.014646027451206425,-0.02678558110676892,-0.03206895011337676,-0.02745578277625739,-1.3770766586188774e-05,-0.015568913530973151,-0.030952315513488027,-0.019066907549793788,-0.03815812189753394,-0.025808617228983564,-1.3770766335272858e-05,-0.01889615673435587,-1.3770766259935954e-05,-1.3770765913302211e-05,-0.0051067441313573944,-1.3770766452209914e-05,-1.3770766350583246e-05,-1.3770766754739037e-05,-0.01665478892152913,-1.3770765846282874e-05,-0.032669982646774655,-1.3770766258915506e-05,-0.014164229375552034,-0.005225017745671579,-0.01919848642390816,-0.026923147289480302,-1.3770766548391813e-05,-1.3770766365955905e-05,-0.0429930539898014,-1.3770766400575918e-05,-1.3770766452209914e-05,-0.02205241720816783,-0.03848394560260343,-0.0032711303470432636,-0.03339331032273744,-0.020052719468986853,-0.01512817597702446,-0.041358249091105734,-0.013681582365213798,-1.3770766494315144e-05,-1.3770766399219814e-05,-1.3770766266275435e-05,-0.016728742325377435
"k=50, n=5",-0.0004683103509069966,-0.22574384151747082,-0.18822605248079624,-0.00046833351378702104,-0.06165441723606223,-0.0004683529960367681,-0.25597401502456024,-0.04760218406272206,-0.0004682977054951071,-0.2153066827564718,-0.1770692974775036,-0.0004683433650067504,-0.11330291148876885,-0.1795626798163561,-0.29753859481901757,-0.00046832143352474085,-0.0004683205004143683,-0.09850789414605074,-0.0004683147499084432,-0.11452222213172582,-0.0004683266117380588,-0.0004683147499084432,-0.38764735941719136,-0.15860312886026384,-0.06689916824796474,-0.00046833158602077346,-0.0004683757431342263,-0.00046830362907336517,-0.20973251317040234,-0.025633981764320378,-0.00046832143352474085,-0.00046834147034768186,-0.0004683252254073707,-0.0004683446284715324,-0.188856753076786,-0.00046832815881834173,-0.00046832552987971206,-0.2833545041305311,-0.17742175618300554,-0.00046827255053686733,-0.01667059593581847,-0.06796063123533776,-0.00046834091304256796,-0.16133406401866512,-0.07158519416173974,-0.1722210615492644,-0.11287927361177766,-0.3027658359862626,-0.08862898287845077,-0.00046832021416366926
"k=100, n=5",-0.302194475241434,-0.0053870115281587335,-0.0053798002670580655,-0.0053798002670580655,-0.44519862446586445,-0.03772872543457428,-0.19836199739682228,-0.15479651968834307,-0.12709150978958186,-0.35055246067796414,-0.6383574015449914,-0.05436308213431107,-0.1966022033167166,-0.338712196085542,-0.15585347654518658,-0.12991087887323746,-0.005386075725344849,-0.0053870115281587335,-0.6551631265713934,-0.07741415043118509,-0.40794631951898014,-0.4362079915490261,-0.06397837420058451,-0.005386075725344849,-0.05231170086305457,-0.33435436104953914,-0.005383861166214104,-0.09014855352858207,-0.15742407884492352,-0.18371564518419994,-0.034207449537395206,-0.3539255222471772,-0.16217657300891725,-0.005386610187135142,-0.15596844387635528,-0.0053870115281587335,-0.20397294366270713,-0.12991087887323746,-0.411712172569126,-0.22553845813973167,-0.5217613939691431,-0.016950383291173387,-0.1571783222358169,-0.005397398915914052,-0.29517238884859515,-0.39160081664267804,-0.3441751091043208,-0.3897470555960323,-0.02051868221510723,-0.09031505561064118
"k=500, n=5",-0.007417195568277918,-1.6496204227462312,-0.5757456047971993,-0.6617204367880946,-0.719036538288963,-0.007417769458449394,-1.1191864638012896,-1.2116677724293303,-0.007424676687406588,-0.007423577385307006,-0.6341676825075548,-0.007417396993074863,-0.007418737116218022,-0.007418651374314198,-0.28960130294125613,-0.656871604021588,-0.007417195568277918,-0.007419661684017077,-1.7895032749104272,-0.007419661684017077,-1.1017067785008423,-0.6398265179740151,-1.885822429513233,-0.5734713522673981,-0.9285865113337931,-0.007417769458449714,-0.5529790955993485,-0.8432431800986373,-0.19022326042880275,-0.32280968207481314,-0.007417769458449394,-0.007417769458449394,-0.7849529659955028,-0.0074196613503633305,-0.9976989946457328,-0.7248763021824871,-0.007419175178951919,-0.007417024586539489,-0.3046020479558534,-0.3587131428784911,-0.007417955256380646,-0.5779389584799146,-0.007419661684017077,-1.679197309207134,-0.927555564697477,-0.007418404436513537,-0.6053388526577052,-0.749922166055272,-0.0074177834704119445,-0.007417721915294838
"k=1000, n=5",-3.951705690594104,-3.7605898618974933,-1.6658525216080649,-2.71335081857873,-1.962655120416536,-0.05083464238487917,-0.05083464238485178,-0.050834642386392966,-3.016102700423881,-2.1613109449828776,-0.050834642384222355,-0.8883920334364587,-3.2709270948787497,-1.7416054678387585,-0.05083464238538189,-3.286369371325332,-0.8758973487133684,-3.0167652543160206,-2.4443148920444417,-0.0508346423852025,-0.0508346423852025,-0.8901008948703019,-4.161467059705453,-3.779734407252224,-0.05083464238520334,-1.0473218203967496,-0.2831914552805021,-1.493446546668737,-1.8522730064569837,-0.05083464238532423,-3.0052643740334726,-2.0166792586895506,-1.19200225341897,-1.0955810608517629,-1.6146418828131381,-0.050834642384973455,-1.58258270714575,-2.507328052426139,-0.5705651480693771,-0.050834642384973455,-0.050834642385257915,-1.362997701381326,-1.7836353031256575,-0.5348788362610895,-0.6457947636028845,-1.2284103367929107,-0.05083464238497563,-0.050834642385200995,-0.6102076448147578,-1.7384840862210083
"k=5, n=10",-0.0006266238594930292,-0.030087949331851164,-0.0076566395814535474,-0.02175583729041282,-0.0006266238594908659,-0.039616627481614104,-0.000626623859492725,-0.0006266238594911479,-0.04453092087612221,-0.04542682945419615,-0.06101639716191925,-0.000626623859490602,-0.026732495997370508,-0.0006266238594911479,-0.04672391754608061,-0.022355405527010857,-0.000626623859494504,-0.050508581236870624,-0.043109077538018216,-0.0006266238594911904,-0.06711708174426458,-0.052079847797794614,-0.05166192787534706,-0.049139822372543066,-0.0006266238594903638,-0.022981141752099456,-0.020114373665674687,-0.000626623859490602,-0.04648157872798551,-0.026235097193335444,-0.06144707810898309,-0.0006266238594909872,-0.03916547742601797,-0.05511851210224574,-0.048699256156582535,-0.0006266238594909182,-0.0006266238594910544,-0.05199875802700567,-0.0006266238594903475,-0.048909090422624035,-0.0006266238594903448,-0.0006266238594909477,-0.034290292289309465,-0.0006266238594903638,-0.0006266238594906744,-0.041521119615221154,-0.0006266238594906049,-0.039331764045921265,-0.0469082556011758,-0.042869405453436926
"k=50, n=10",-0.3245433132048428,-0.23749253535277565,-0.47947550708918196,-0.6407211079684965,-0.3011959258700512,-0.05367030061856062,-0.27444164117412356,-0.05367030061856062,-0.45932182869338206,-0.42957726190738993,-0.053652796124758845,-0.213230331251003,-0.4351879571287418,-0.29085028877456875,-0.4623896991604287,-0.05367630286380693,-0.053670197776471876,-0.21538510022388258,-0.29355976475958134,-0.27992895317995486,-0.5053065712665403,-0.2202605927479998,-0.30738817872385155,-0.05365360476601746,-0.4348051251203804,-0.37554214929066615,-0.25851578990961716,-0.05367030061856067,-0.053679338544078456,-0.053674374447089036,-0.053679201881360813,-0.05365761591179537,-0.053670361985535354,-0.19326284488474404,-0.053652796124758845,-0.5875623497864438,-0.2787780731340218,-0.13311183594826329,-0.11573969421593222,-0.3492065078865681,-0.05366662688962261,-0.3447120925378208,-0.32138360806791466,-0.20689530919933485,-0.05365360476601746,-0.053670677791020895,-0.1557304038508319,-0.05365360476601746,-0.05364611503389414,-0.053682716057101156
"k=100, n=10",-0.6199291536880971,-0.2256796208917501,-0.5035192899000784,-0.2257391913100455,-0.7380510253308392,-0.22563239696223206,-0.23648260631532175,-0.23624214287560397,-0.22567318497950073,-0.22571810356076974,-0.3740401861618259,-0.22571594175404358,-0.7735586819928623,-0.22574642818725624,-0.22594985582237806,-0.34326211366651455,-0.5146544167292665,-0.2256935856872597,-0.3403359317256702,-0.4516340648195347,-0.22567177613230555,-0.22570694414931786,-0.7921313528623395,-0.22572671347264417,-0.535273251664111,-0.2288749521713879,-0.22569693115507816,-0.2256982987454334,-0.8010101011795168,-0.2257658391148562,-0.22569829874543326,-0.710983961952,-0.2259828644698138,-0.22557558025507948,-0.5338982752899487,-0.7317189559261482,-0.6600725608890696,-0.6011116288565177,-0.5582120286367226,-0.225672464437722,-0.22573564974399496,-0.2256556588768447,-0.22569693115507816,-0.47163655382637026,-0.512747279642829,-0.43547887364281196,-0.6790120791075227,-0.6055697256888486,-0.9195396929177414,-0.5952994893763939
"k=500, n=10",-2.948059170612405,-1.8551002744130718,-3.162708315608165,-6.102577951311002,-3.1248761555652287,-2.7805289075414317,-2.1790924054307896,-2.2326697844988663,-4.678023252803677,-1.8553578903959582,-1.8548126917131849,-3.4889198575155174,-5.101511880800499,-1.8551267532532085,-1.8551054332066068,-1.855305857207558,-1.8548894196673082,-1.8550782677726376,-4.561355649191197,-3.4417997621083156,-2.545010899599029,-2.9686116970782206,-1.8551191206576838,-5.37682313466689,-3.92514328315806,-3.4769925448536334,-1.8551002744130716,-5.960947107454751,-2.982623679871131,-1.855076091252299,-5.763761864757421,-2.319765525349868,-2.525533364621851,-4.125269827295344,-3.727106746198121,-4.2640270317646065,-4.061985908013636,-2.7840148236841116,-2.499585518833631,-1.854904820199593,-1.8551267532532085,-2.5449480706977536,-2.476445536077842,-2.7643527505725527,-1.8551267532532085,-1.854904820199593,-1.855039855419057,-3.6161469221012874,-5.135012148968605,-5.8946125820330515
"k=1000, n=10",-6.622319418175503,-8.317673799086284,-7.461491296502417,-6.622334643178452,-6.6223612288583,-13.763838960543525,-7.994682888005924,-6.62233987027608,-10.374756901390821,-7.049091401999005,-6.622327322685803,-9.271873444821093,-6.812034597504981,-9.288378666667088,-8.091378431068863,-6.622337845422298,-6.622356116679155,-6.622326257581911,-16.104596994670036,-6.622365317160353,-8.695101838192743,-15.037902897365253,-7.513738726804924,-6.622356047382976,-6.622296326600239,-6.622322649470424,-6.622334643178452,-9.458353591196152,-6.622334643178452,-7.2490681510172355,-9.070196972317298,-10.72121541675963,-6.6223194181755085,-6.6223194181755085,-13.191185137143885,-10.475559941694662,-7.08263063030296,-10.621806278440781,-8.876292369431026,-6.622327322685803,-6.812034597504981,-6.622337845422298,-6.622371768004274,-13.982849640986997,-6.622365213176835,-6.622388473795073,-10.756732674730326,-6.622364081740036,-13.303362166081378,-11.014491983443833
