n,k,loss p1,loss p2,loss p3,loss p4,loss p5,loss p6,loss p7,loss p8,loss p9,loss p10,loss p11,loss p12,loss p13,loss p14,loss p15,loss p16,loss p17,loss p18,loss p19,loss p20,loss p21,loss p22,loss p23,loss p24,loss p25,loss p26,loss p27,loss p28,loss p29,loss p30,loss p31,loss p32,loss p33,loss p34,loss p35,loss p36,loss p37,loss p38,loss p39,loss p40,loss p41,loss p42,loss p43,loss p44,loss p45,loss p46,loss p47,loss p48,loss p49,loss p50
5,5,-0.008913228494107302,-0.035381154627566976,-0.014589270282975915,-0.010747949815936625,-0.01120682204811908,-0.025656223962060614,-0.045457529127861135,-0.01937169419892951,-0.019569186690570065,-0.010747949815936625,-0.037096248950813766,-0.01428729883897919,-6.083905094030845e-06,-0.029753539458872304,-0.013922974075868412,-0.013193862789226062,-0.010753969148515945,-0.02213793509781344,-6.083649379111742e-06,-0.007330051094943487,-0.00253795362060232,-0.006392240592318364,-6.083649379154291e-06,-6.083649379154291e-06,-0.014054001447857562,-0.020126252221193446,-0.012748000224042386,-0.0299569062198107,-0.009647048759010356,-0.021442548744777523,-6.083670455527426e-06,-0.02503799050760961,-0.011578920614900706,-6.083610567124828e-06,-0.014131348611207932,-0.02624103625560925,-0.007330051094943487,-6.083649379111742e-06,-6.084067522337624e-06,-0.0107313393011666,-0.012744736662391733,-0.027151653716587336,-6.083823986114452e-06,-0.02056652611912602,-0.010747949815936625,-6.083366973727369e-06,-6.0832751644741665e-06,-0.033426841343126054,-0.04142568431260643,-0.005069018845126019
5,50,-0.00450015821645427,-0.004489456260027039,-0.19141533691193993,-0.004509461556653454,-0.0044934391657942595,-0.004499461727376533,-0.35615379939068487,-0.49283092164528736,-0.004496448520400512,-0.1424186363820269,-0.19276441579965023,-0.004504799224884054,-0.4634482502209698,-0.1773457357853222,-0.004499424505495288,-0.5732664977826135,-0.004489955439858878,-0.19266012929805088,-0.16586422190030348,-0.004494752195055853,-0.004489955439858878,-0.00449530904313855,-0.004489955439859096,-0.14237602014633607,-0.356243662564082,-0.0044937955968936,-0.3170072861945375,-0.33535447038775107,-0.1073118416493169,-0.00449530904313855,-0.33031849919959566,-0.0045053005008726605,-0.3041592498100244,-0.14003146247019266,-0.004498244380351644,-0.004497155822141158,-0.004496182124516659,-0.004492357710594401,-0.16041444792534348,-0.12716479273147643,-0.0044981255184222205,-0.0044937955968936,-0.18088475492691303,-0.19597636136564622,-0.3709344248852643,-0.3615408161085213,-0.2284635484488991,-0.30383248021155346,-0.04700115935852875,-0.004493645712952079
5,100,-0.010483608147206133,-0.010483608147206593,-0.06659388316656978,-0.010483608147215686,-0.010483608147214826,-0.01048360814721006,-0.010483608147209202,-0.010483608147213011,-0.063388236013678,-0.15423303539735583,-0.010483608147205468,-0.01048360814721824,-0.29178636017887444,-0.09961153366395344,-0.010483608147223752,-0.010483608147209068,-0.060411830721390274,-0.15088661795022582,-0.010483608147212357,-0.0521684247838043,-0.04215609843221634,-0.07036437657159839,-0.010483608147217549,-0.010483608147212477,-0.010483608147219632,-0.025841331321058605,-0.01048360814720723,-0.15060801959402131,-0.010483608147208069,-0.03920794306260252,-0.2051476480054456,-0.039451025595481026,-0.04550410442328226,-0.2781785745673554,-0.0924336265599544,-0.06260504144291028,-0.07450764586229452,-0.08630167231837688,-0.1263908571805512,-0.07768569929487822,-0.04695811382952142,-0.010483608147214272,-0.010483608147209902,-0.010483608147212675,-0.11558546379297263,-0.010483608147213266,-0.010483608147210926,-0.09658105956355312,-0.10636577905439563,-0.05875614514260557
5,500,-1.5419574490131374,-1.5434892283939656,-1.7558059447941772,-1.6224949626023792,-1.5699361650029326,-1.7406789685928812,-1.5419574490131374,-2.340627641614859,-2.082289966657689,-1.833049392729406,-1.841237383985568,-2.035890827775791,-1.6129435119097388,-1.5570373353775668,-1.672157736874767,-1.5797680900526554,-2.407383887856906,-1.5410713938513763,-1.8769042715715698,-1.6129435119097388,-1.5419895392947123,-1.7936118571885056,-1.7094447425216563,-1.5833113920012725,-1.5569376984265069,-2.439649483472874,-3.5647061683401873,-1.5410713938513763,-3.1279890584963836,-3.0407802265621275,-1.5410713938513763,-1.549359343271006,-2.054535027500731,-1.9449520203466208,-1.5410713938513763,-1.6812353967438136,-2.3549385676543824,-1.7127853669083166,-1.8434501473652767,-1.8066739808421455,-1.550061602363765,-1.5651268483915042,-1.7277481184174517,-1.5636095310124207,-1.5355325089157024,-1.6430835935317845,-1.5924388014000055,-1.5306791354374107,-1.8451288294374666,-1.9927749628800184
5,1000,-1.490438017995555,-4.127912460122004,-1.6379694531346234,-1.3538576164655995,-2.537124242620468,-0.5723512074934959,-0.5706318519489783,-2.3235921103568264,-1.3168172454704394,-0.579040877352337,-0.5740832439868715,-0.5850660432773678,-4.509155982820662,-0.5709809643484824,-3.174489564212302,-0.5803003432116961,-0.5720794978928131,-0.5720794978928131,-0.6632290210075067,-3.9676349986409085,-2.5157583620794517,-0.5723512074934959,-1.7544997466167542,-2.1390190987006985,-0.5723512074934959,-0.5709809643484745,-0.5757391702584004,-0.5728151234056069,-0.5720794978928131,-2.046354499372654,-1.2773299110609266,-2.9072688026393307,-1.1252971590618328,-1.6423352637562714,-0.5736777768306685,-2.663781227111288,-0.5732538770892808,-3.7937978231775222,-0.5706318519489783,-0.5596176630322123,-0.5811475110181757,-0.5804594860172552,-2.0450316450086947,-1.88359731960243,-0.5762823762744942,-1.5713853838380762,-0.5706318519489783,-2.794151928591185,-0.6549507636304295,-0.5720794978928131
10,5,-0.0016963006996274167,-0.0016944756176918022,-0.046133018141386754,-0.04913543511587526,-0.001696792332227966,-0.001697474069313227,-0.0016985923487517092,-0.02109104697870164,-0.05766066288416135,-0.001696757283434538,-0.0016937427575798843,-0.0016963302416889536,-0.0016970171160255042,-0.05636056070443722,-0.05751047589289184,-0.0016986667783916957,-0.03735022255810391,-0.048676110730086056,-0.04439400469294102,-0.001694475617691851,-0.0016951795857127522,-0.0016948165373443776,-0.039572869039797835,-0.0016933854038243803,-0.07283315634870549,-0.001693577256837837,-0.04630642659699992,-0.0016978591963311533,-0.05296733771856486,-0.0016986080072021396,-0.051711035930290944,-0.06695675248549575,-0.00170005785405473,-0.0016954994504008816,-0.06376037947041331,-0.0016923690767328028,-0.0016986894222020257,-0.0016993925350934646,-0.05733534467424614,-0.0016980632101306302,-0.03847445766951064,-0.001697846475519223,-0.08174970869502027,-0.056645423919162996,-0.058451062186901125,-0.06677846494177637,-0.028831545277977308,-0.0786217763524396,-0.0016978591963311533,-0.0016991672076162817
10,50,-0.3227369222666069,-0.116055188691115,-0.20060045278674418,-0.07628479976259199,-0.2449663465739877,-0.07628479976259199,-0.07628479976259206,-0.07628479976259216,-0.07628479976258819,-0.2774475653805065,-0.2356172285539222,-0.07628479976258819,-0.1449628849040127,-0.07628479976258883,-0.07628479976259137,-0.07628479976258819,-0.1657847613440201,-0.07628479976259195,-0.14889733087759086,-0.1030768098530219,-0.40451820766300717,-0.07628479976259277,-0.3103017715943903,-0.23927643148933328,-0.13156659734407303,-0.07628479976258819,-0.2493165374206345,-0.07628479976259309,-0.16123121229466278,-0.15431540424699844,-0.1693989898053707,-0.16309314452298596,-0.1277589760555919,-0.25610376514344063,-0.19218802286122505,-0.14712001910018324,-0.07628479976259248,-0.1543739093661445,-0.07628479976259145,-0.15245702259686322,-0.07628479976259235,-0.07628479976259148,-0.07628479976259128,-0.19057374267017604,-0.12423665871036246,-0.16701125642543274,-0.07628479976259173,-0.07628479976259145,-0.13199094485061674,-0.07628479976259249
10,100,-2.293882891324704,-2.294784247292482,-2.319427946774107,-2.4265692809544905,-2.434615939272652,-2.3283303033231553,-2.46084997244692,-2.5201829151455195,-2.2671173177120014,-2.3906569003399896,-2.4365727813666878,-2.2936267134291235,-2.3025614542821287,-2.3185350862988052,-2.356734927315116,-2.3449973070452863,-2.5441057927337263,-2.4402437798087027,-2.460927816657842,-2.6035939705174136,-2.296473778609985,-2.32917705938219,-2.4129386465995495,-2.3065837726506886,-2.4498740628640636,-2.651026720050961,-2.374957605180814,-2.6632324861067573,-2.2936267134291235,-2.6106335250249684,-2.2985925919186574,-2.4021567999677282,-2.3205647352549574,-2.4770792405941626,-2.5650422826146886,-2.672650236320999,-2.3084229256150937,-2.336031792970889,-2.2753603579728416,-2.3798191584331345,-2.382881145218103,-2.4186200837421286,-2.348154189937605,-2.674204872223474,-2.3183667986255276,-2.431053441577685,-2.2671173177120014,-2.2870655205398824,-2.293637686872658,-2.2927757704736447
10,500,-5.285963226306113,-5.285583240918259,-4.6269023766771555,-4.601465236750854,-4.738913183289877,-4.688351986582692,-4.58936461224731,-5.033438675486526,-4.6069731084961925,-4.6069731084961925,-5.389151106385348,-4.607095015707781,-4.616959039556389,-5.132166344873978,-5.492697963518027,-4.815124274921052,-5.561093364872733,-4.747105388028044,-4.9699885849385455,-4.589342735558479,-5.252070463864896,-5.2021420708723225,-4.607095015707781,-4.639499312078989,-4.667061276529452,-4.602140711580496,-5.882622984295398,-4.707730683077713,-4.57680821841313,-4.676434060780668,-4.711699567506327,-4.685425023176136,-4.736937965576864,-4.764357017366884,-4.631578950310582,-4.626512426525988,-4.607095015707781,-4.60709501570778,-4.607095015707781,-4.6930761518998825,-5.672778579701443,-4.774924290714744,-4.9921346102278745,-4.835786619180142,-4.607095015707779,-4.599074018599813,-4.6069731084961925,-4.771384749678639,-4.607095015707781,-5.229127344765438
10,1000,-5.388849772929428,-4.180792764521057,-5.832534459886873,-5.28170097784453,-10.126743334740654,-9.1300222832884,-3.9838345081329516,-6.2261629406735635,-4.658715290648052,-4.325350730222208,-5.583448423257636,-4.2461952913608565,-4.735164736815963,-4.458131527474872,-4.152341897714723,-8.42254861698968,-4.215590842343113,-6.808614931836844,-3.9505969296504992,-5.325689875750463,-4.881753281991135,-4.093755457145409,-7.424160602092542,-5.525358819616524,-5.617952548153757,-4.3659801232130935,-6.020216576212773,-11.810417056011685,-7.389713086333988,-4.936410623425069,-7.055704223305338,-3.9722532608572134,-6.42128716809131,-4.7032993135878,-4.718093545287963,-3.9505969296504984,-3.993571223715043,-4.03161350562155,-4.798113099671685,-3.950596929650501,-6.206041625905549,-6.475829407448445,-4.586001267911224,-4.228235644596587,-5.536187526125634,-4.127206001872051,-8.019256671040191,-8.448646147142728,-8.907006430876102,-6.042604978117458
