Key,Iteration,Min,Max,Average,Std. Dev.
"k=10, n=100, seed=1234",0,6769.0722965978875,4975.176000993459,8813.246666355091,0.0
"k=10, n=100, seed=1234",1,6643.582027982679,4974.546459367466,8688.69706546244,0.31477081299635756
"k=10, n=100, seed=1234",2,6443.961026211175,4931.146676061422,8507.641099163242,20.60884105761216
"k=10, n=100, seed=1234",3,6136.46049588555,4596.625147017145,8083.597212606819,158.47958065168612
"k=10, n=100, seed=1234",4,5969.902460208759,4388.81224388337,8029.2795794779395,238.83653871318398
"k=10, n=100, seed=1234",5,5735.272397217396,4169.264734762815,7791.907264881617,313.37526553781413
"k=10, n=100, seed=1234",6,5546.416647638644,3992.432449506302,7591.922240666881,375.2631371627783
"k=10, n=100, seed=1234",7,5402.755304562233,3779.833960103356,7400.643288598274,438.69225124185107
"k=10, n=100, seed=1234",8,5172.3287315815205,3607.636712922679,7192.8681026908935,495.5184421047266
"k=10, n=100, seed=1234",9,4857.628001202901,3211.7467451041507,6934.1391614574,586.2698741705117
"k=10, n=100, seed=1234",10,4523.626456008447,2778.4436707972254,6700.124662307149,703.234470195708
"k=10, n=100, seed=1234",11,4290.874753203872,2578.7956728243353,6389.165617794672,797.8802239877585
"k=10, n=100, seed=1234",12,4006.74357564769,2388.146326218094,6129.838312927193,878.5356203123091
"k=10, n=100, seed=1234",13,3696.4143059662983,2173.1506664437484,5862.89488451675,953.2858317412731
"k=10, n=100, seed=1234",14,3513.242192461271,2108.46177291163,5536.397575539525,1008.219018304875
"k=10, n=100, seed=1234",15,3398.0201789057805,2059.548561565064,5527.500493664065,1048.8094446389716
"k=10, n=100, seed=1234",16,3173.6212230672154,1869.198470774893,5367.426394267883,1091.1922103364398
"k=10, n=100, seed=1234",17,2972.366992835543,1729.4861991695605,5072.917893702405,1130.9981191972672
"k=10, n=100, seed=1234",18,2771.4004922689996,1563.3133556354253,4648.999511470928,1170.951028019598
"k=10, n=100, seed=1234",19,2624.5673055405305,1374.964265983677,4409.692687535349,1212.7446992179553
"k=10, n=100, seed=1234",20,2471.8666288690392,1278.3312087114036,4263.764986602124,1249.6888213518469
"k=10, n=100, seed=1234",21,2338.343874773626,1202.6524268210967,4169.072839139244,1281.595001200844
"k=10, n=100, seed=1234",22,2142.6409297523323,1032.1603093907468,4056.160990650856,1315.3433773964653
"k=10, n=100, seed=1234",23,2027.0957244846,929.7332355065084,4039.363844761496,1346.657073540261
"k=10, n=100, seed=1234",24,1823.6860958258897,790.4088004406386,3980.608657062691,1378.1194008307684
"k=10, n=100, seed=1234",25,1691.1981145345746,714.6306070923922,3868.7852216420833,1406.3343580821113
"k=10, n=100, seed=1234",26,1545.9403430800348,634.5138079382377,3607.9120397564634,1432.1523738617884
"k=10, n=100, seed=1234",27,1405.9471613058486,579.5853722309225,3312.0455034130396,1454.821487544122
"k=10, n=100, seed=1234",28,1188.1020899237876,491.9607216370877,2959.5151080055452,1476.3971105949875
"k=10, n=100, seed=1234",29,1024.7169797167417,458.6741506800912,2590.9815438731202,1494.7311864888181
"k=10, n=100, seed=1234",30,818.0506404792377,417.1756598706849,2140.031833235287,1510.7187267250436
"k=10, n=100, seed=1234",31,728.0846749826649,417.01841861431296,1821.9656224972675,1523.1752397938744
"k=10, n=100, seed=1234",32,665.70505023413,423.14930815269366,1784.4877110019625,1532.4784112593372
"k=10, n=100, seed=1234",33,598.5271556479512,436.69467173929326,1644.1491883466656,1538.908321224638
"k=10, n=100, seed=1234",34,557.8690716544944,431.3065856728042,1616.5536378920904,1543.5159234217326
"k=10, n=100, seed=1234",35,519.042919612246,426.7927233802473,1365.4271205228565,1546.557616115808
"k=10, n=100, seed=1234",36,496.77144027069124,424.25999852090365,1166.4117573909787,1548.216195464166
"k=10, n=100, seed=1234",37,487.59580463638304,439.73552131995746,845.209744060437,1548.2278594802915
"k=10, n=100, seed=1234",38,480.6811985426735,432.95715202829024,733.9036533460803,1547.387750592673
"k=10, n=100, seed=1234",39,475.0808828183153,434.08249395207685,736.628381736038,1545.6347345389452
"k=10, n=100, seed=1234",40,480.51490503911384,440.2203735143826,668.8155688066873,1542.988539714486
"k=10, n=100, seed=1234",41,476.31200353937913,441.84285152330233,699.3537349055548,1539.6734572789412
"k=10, n=100, seed=1234",42,475.95431719194215,432.2469684101771,650.956363047017,1536.0153692635022
"k=10, n=100, seed=1234",43,477.04176326136104,436.2773052360849,608.4278511105125,1531.8001293920158
"k=10, n=100, seed=1234",44,472.8578013157013,451.15166450463056,540.0129823750497,1526.9041678154897
"k=10, n=100, seed=1234",45,475.31025136707933,427.730152739854,581.454531144785,1522.1093611161918
"k=10, n=100, seed=1234",46,470.8971451553121,425.193737782995,535.3880367979867,1517.0538227853613
"k=10, n=100, seed=1234",47,470.7297233875358,429.76924561548446,531.5520810243311,1511.6583048786165
"k=10, n=100, seed=1234",48,474.9176100904546,427.7201244014239,567.38291944118,1506.0785530453522
"k=10, n=100, seed=1234",49,472.22468244803315,430.8745275686836,611.1274585655383,1500.264043194419
"k=10, n=100, seed=1234",50,470.56726984868,427.517334920927,613.7439061823447,1494.3481187534903
"k=10, n=100, seed=1234",51,472.9708631460504,432.889508566926,586.0181583528955,1488.2247526128353
"k=10, n=100, seed=1234",52,468.25620727714966,436.46408892948045,550.3278949187269,1481.9503049882812
"k=10, n=100, seed=1234",53,468.60154372900007,442.0365091815589,526.009284574433,1475.5227558153888
"k=10, n=100, seed=1234",54,469.11717807441903,431.30735774993303,580.8287795860774,1469.179530091066
"k=10, n=100, seed=1234",55,467.8217162202966,431.64982260181876,521.5994208962379,1462.7818069760713
"k=10, n=100, seed=1234",56,467.34489425290093,438.3816304357338,535.5469963202861,1456.2649212209112
"k=10, n=100, seed=1234",57,466.81507353843296,440.00833254187035,533.8935913084714,1449.7092228070708
"k=10, n=100, seed=1234",58,466.24251531319567,430.2883899329117,568.4359502894218,1443.2579521069633
"k=10, n=100, seed=1234",59,467.5759852146955,438.81253266082587,610.3787602715728,1436.704757905756
"k=10, n=100, seed=1234",60,468.5967011410512,437.21764417425493,615.272678031293,1430.176637583459
"k=10, n=100, seed=1234",61,466.93309344078364,435.85609141672893,585.5344277783214,1423.676515238187
"k=10, n=100, seed=1234",62,466.5247005942744,437.92806582166384,557.2164674565532,1417.1737731691403
"k=10, n=100, seed=1234",63,464.90643327258664,441.82040960953583,491.71655382138755,1410.6572791776114
"k=10, n=100, seed=1234",64,464.2044587890599,443.353779757737,505.6100315406091,1404.1577731144696
"k=10, n=100, seed=1234",65,465.08311038516473,440.4743085223946,511.6685869396498,1397.7221810616404
"k=10, n=100, seed=1234",66,466.74029130880575,439.1377330115623,545.3775795240122,1391.337520341916
"k=10, n=100, seed=1234",67,465.8560816782185,444.58392197036875,559.8947580675817,1384.944584798952
"k=10, n=100, seed=1234",68,465.47723530710743,442.3523765386489,518.3203012736793,1378.617152208789
"k=10, n=100, seed=1234",69,467.5404509378822,436.4828156050343,537.4836060703313,1372.3873731167728
"k=10, n=100, seed=1234",70,471.1085344216601,436.40959931041886,587.721536991572,1366.204714113034
"k=10, n=100, seed=1234",71,470.0919168600726,438.4326682830374,612.5721150980514,1360.0535512827676
"k=10, n=100, seed=1234",72,466.774666937021,442.38369626973684,562.7357175762627,1353.9210543135973
"k=10, n=100, seed=1234",73,464.859963254721,442.3768324290466,545.9221540471274,1347.8415741711779
"k=10, n=100, seed=1234",74,464.5616675962303,428.80117234475375,539.1082831589539,1341.9207275503657
"k=10, n=100, seed=1234",75,466.96711123101744,441.31809178393036,533.6058612311509,1335.9552905483322
"k=10, n=100, seed=1234",76,466.05850826907573,440.31866270981754,526.8877568396491,1330.0520191076664
"k=10, n=100, seed=1234",77,465.58188485004763,442.5104328038333,502.5235276674854,1324.1879587008154
"k=10, n=100, seed=1234",78,464.84470259122105,441.8958576420494,490.3955394888212,1318.3841198944021
"k=10, n=100, seed=1234",79,464.4145452423968,444.87940650181343,492.6221167520869,1312.6156941387333
"k=10, n=100, seed=1234",80,464.90366093889264,441.93296699993004,504.38291735731315,1306.9238803150295
"k=10, n=100, seed=1234",81,465.5845606872292,444.3309260145414,541.353535482863,1301.2722048310127
"k=10, n=100, seed=1234",82,464.02377409600865,446.01615028516767,520.1498700319997,1295.6661486934945
"k=10, n=100, seed=1234",83,464.04266161168266,447.3631977330756,498.268276660451,1290.1083089387027
"k=10, n=100, seed=1234",84,464.87714071345584,445.41644845186556,509.9570237551862,1284.6192763704669
"k=10, n=100, seed=1234",85,464.26050058631654,444.900513922625,492.49262961061976,1279.189347902844
"k=10, n=100, seed=1234",86,465.5301033744461,437.8273513260576,521.1788934126296,1273.8573461240849
"k=10, n=100, seed=1234",87,465.0992160478404,438.2403468549442,531.8143718757985,1268.576419966755
"k=10, n=100, seed=1234",88,464.1153575386492,449.21430958443096,519.6569909862199,1263.2855372168908
"k=10, n=100, seed=1234",89,464.00111518206927,447.00547148872215,501.7076200674816,1258.062197986762
"k=10, n=100, seed=1234",90,464.30800146392505,444.3955932447241,537.3307217043797,1252.9074754911996
"k=10, n=100, seed=1234",91,463.23059186063017,446.9778528574066,533.2872177593155,1247.7918227029954
"k=10, n=100, seed=1234",92,462.6570972739439,440.928183139266,535.309439489638,1242.7616866435517
"k=10, n=100, seed=1234",93,463.3059594709506,444.44699072466676,501.81234702943317,1237.7643724622176
"k=10, n=100, seed=1234",94,462.79085115465745,445.4105137542612,501.2813173500437,1232.8135770018357
"k=10, n=100, seed=1234",95,463.3255789432074,445.0614559053868,512.1102891354375,1227.9156531744804
"k=10, n=100, seed=1234",96,462.5442914352022,447.52512218895436,511.4115665144443,1223.055891786868
"k=10, n=100, seed=1234",97,463.70471610376853,443.924268051801,515.5640727858487,1218.2640777991433
"k=10, n=100, seed=1234",98,464.43819575354195,445.13216859962114,523.2929400531315,1213.515490917243
"k=10, n=100, seed=1234",99,463.13793861238065,445.71329499626324,518.4268841333666,1208.812808675825
