Key,Iteration,Min,Max,Average,Std. Dev.
"pop=300, k=1, n=150, seed=1234",0,2635.890142313454,2393.424079645329,2874.291826249587,0.0
"pop=300, k=1, n=150, seed=1234",1,2595.949435386888,2357.63604027238,2845.1211407060673,17.89401968647462
"pop=300, k=1, n=150, seed=1234",2,2526.1144519877394,2268.67550012899,2817.50107471518,52.44782545657256
"pop=300, k=1, n=150, seed=1234",3,2435.061569298919,2133.5160760147055,2784.994776090542,100.25186039830209
"pop=300, k=1, n=150, seed=1234",4,2376.78504389291,2027.8088824361469,2709.0765834481763,137.47117995897352
"pop=300, k=1, n=150, seed=1234",5,2323.03354452937,1968.7896983917628,2626.8037657761947,160.25357562079276
"pop=300, k=1, n=150, seed=1234",6,2273.139156075069,1921.0748432673133,2555.9207899844087,176.00146928590686
"pop=300, k=1, n=150, seed=1234",7,2228.150049434426,1884.3342771648909,2522.949029424176,187.07926221995362
"pop=300, k=1, n=150, seed=1234",8,2168.301637548764,1860.8527537420327,2455.00560332298,194.19688902443707
"pop=300, k=1, n=150, seed=1234",9,2070.370110363883,1705.1759896135761,2374.028754174224,217.52316842670552
"pop=300, k=1, n=150, seed=1234",10,2021.6757078583287,1646.771924482591,2363.0487682563094,237.8960507699481
"pop=300, k=1, n=150, seed=1234",11,1943.970475824514,1532.060484394547,2292.2548240053043,264.03612607155446
"pop=300, k=1, n=150, seed=1234",12,1829.0712799871596,1404.5588532123277,2202.63869982837,295.7342341333931
"pop=300, k=1, n=150, seed=1234",13,1723.4701918404685,1268.5871765158142,2142.888894879366,332.15433961352096
"pop=300, k=1, n=150, seed=1234",14,1665.4755719008926,1190.9434733527291,2106.008593365883,364.47442043703427
"pop=300, k=1, n=150, seed=1234",15,1587.3979707520346,1131.964675400994,2052.1343809453415,392.06534138630576
"pop=300, k=1, n=150, seed=1234",16,1508.0679223853717,1049.1864801063207,1958.8533407002367,418.7427427140858
"pop=300, k=1, n=150, seed=1234",17,1435.9468755296457,962.4064897669103,1869.5493381462315,445.1160644742052
"pop=300, k=1, n=150, seed=1234",18,1352.0243827024615,876.7382140767586,1757.0509875735538,471.1559692851966
"pop=300, k=1, n=150, seed=1234",19,1238.8002093629623,764.8852101666915,1696.1199783185511,499.1457184867027
"pop=300, k=1, n=150, seed=1234",20,1094.1187650836516,636.0818483418369,1623.4748344959987,530.0578519279345
"pop=300, k=1, n=150, seed=1234",21,1027.0457344101862,563.6699023926941,1581.5324001075808,558.7434093703682
"pop=300, k=1, n=150, seed=1234",22,987.3508731899814,515.0427837747429,1510.9420248423671,583.984150841771
