Iteration,Min,Max,Average,Std. Dev.
0,1.496,13.458,4.935,2.55223862008658
1,1.496,13.458,4.935,2.55223862008658
2,1.496,13.42,4.915,2.544074945657419
3,1.496,13.403,4.876,2.5284285722693642
4,1.496,13.367,4.821,2.498329289539744
5,1.496,13.316,4.755,2.473564880181922
6,1.496,13.3,4.689,2.4473238027711517
7,1.496,13.221,4.609,2.408124844752068
8,1.496,13.108,4.518,2.3623260505666477
9,1.496,13.001,4.413,2.326580607253784
10,1.496,12.982,4.311,2.2929780840387477
11,1.496,12.891,4.211,2.2529619127564664
12,1.496,12.754,4.104,2.2041657151019423
13,1.496,12.612,3.987,2.15308826700662
14,1.496,12.593,3.876,2.0925034580953503
15,1.496,12.348,3.76,2.0240110366475537
16,1.496,12.316,3.64,1.9795586775149876
17,1.496,12.029,3.516,1.9196711061096816
18,1.496,11.771,3.399,1.8839894111754107
19,1.496,11.31,3.266,1.8348963395723503
20,1.496,11.016,3.161,1.7908783528379637
21,1.496,10.654,3.03,1.7258050274350312
22,1.496,10.018,2.904,1.643736381262156
23,1.496,9.4,2.781,1.5796013642047122
24,1.496,9.3,2.672,1.5352397177487573
25,1.496,9.122,2.567,1.4843870391736191
26,1.496,8.754,2.453,1.4116169060315613
27,1.496,8.249,2.347,1.327756280318888
28,1.496,7.862,2.252,1.2384192757804364
29,1.496,7.433,2.145,1.1341463868050947
30,1.496,6.738,2.05,1.0277445392650117
31,1.496,5.968,1.962,0.9239785966058526
32,1.496,5.274,1.871,0.8252219872903108
33,1.496,4.986,1.791,0.7238869760924792
34,1.496,4.725,1.715,0.6038711974713705
35,1.496,4.642,1.66,0.5083650493790828
36,1.496,4.531,1.627,0.4575943075684515
37,1.496,4.45,1.604,0.42007702090751786
38,1.496,4.209,1.587,0.3799511443741373
39,1.496,4.101,1.57,0.33838191549675617
40,1.496,4.007,1.552,0.2977372559191067
41,1.496,3.624,1.542,0.25868341533299344
42,1.496,3.368,1.533,0.2305975128308397
43,1.496,3.089,1.526,0.1877286024106694
44,1.496,3.061,1.521,0.16407165116573688
45,1.496,2.913,1.52,0.15009474981945264
46,1.496,2.614,1.514,0.11659053013960838
47,1.496,2.441,1.508,0.09495967906827979
48,1.496,2.18,1.505,0.06832785389988469
49,1.496,2.057,1.504,0.05597637459361209
