Iteration,Min,Max,Average,Std. Dev.
0,1.639,19.734,9.093,6.119611718451688
1,1.639,19.734,9.093,6.119611718451688
2,1.215,19.65,7.981,5.617011544103558
3,0.83,18.67,6.901,5.117697585665591
4,1.15,18.306,6.046,4.686683897321733
5,1.232,14.272,5.148,3.543309422415382
6,1.499,4.973,3.808,1.0897602924133287
7,1.367,4.281,2.953,0.9192919142866542
8,0.584,2.823,2.153,0.7297116392694938
9,-0.04,2.385,0.907,0.9280727940613758
10,-0.0,1.584,0.537,0.4444592428171397
11,-0.016,0.723,0.256,0.2620927677562433
12,0.052,0.493,0.166,0.1410212528854139
13,-0.014,0.221,0.078,0.07606567775355486
14,-0.042,0.107,0.025,0.04508423482928408
15,-0.099,0.098,-0.005,0.04885725682003304
16,-0.068,0.318,0.02,0.10782443557068067
17,-0.115,0.273,0.001,0.12269295509182324
18,-0.116,0.071,-0.047,0.06090597980542169
19,-0.114,0.441,-0.012,0.16520735388806132
20,-0.12,0.417,-0.04,0.1669462659794988
21,-0.114,0.348,0.0,0.1376975641671732
22,-0.121,0.312,-0.048,0.13053644879478507
23,-0.123,0.167,-0.029,0.10757571152983085
24,-0.116,0.107,-0.016,0.08689224357763013
25,-0.118,0.371,-0.02,0.15328817473139067
26,-0.123,0.088,-0.073,0.06539516646720998
27,-0.124,0.984,0.023,0.34126241780288213
28,-0.122,1.077,0.033,0.3684419127577395
29,-0.123,0.351,0.044,0.19802405021277622
30,-0.123,0.206,-0.037,0.12434536360941066
31,-0.121,0.626,0.071,0.27888911214660916
32,-0.122,0.862,0.114,0.3181154833144616
33,-0.121,0.126,-0.038,0.09761579087263511
34,-0.115,2.632,0.257,0.843939018914726
35,-0.118,2.988,0.317,0.9457563451964701
36,-0.114,0.198,0.062,0.10011457701835147
37,-0.115,0.145,-0.001,0.09284790993520639
38,-0.119,0.186,-0.048,0.08697469811036881
39,-0.121,0.474,0.037,0.20563318821380525
40,-0.118,0.337,-0.034,0.14040132206449638
41,-0.123,0.12,-0.026,0.10810105247984406
42,-0.122,0.171,0.001,0.10685721270438482
43,-0.119,0.672,-0.014,0.24282618603281406
44,-0.123,0.37,0.007,0.17487755210948805
45,-0.119,0.168,-0.014,0.08975143053546457
46,-0.122,0.547,0.007,0.19932856116254627
47,-0.116,0.434,0.03,0.15943338807719812
48,-0.121,0.01,-0.089,0.03696821345097904
49,-0.118,0.805,0.037,0.28851972569665785
50,-0.121,0.421,0.064,0.19121583979051382
51,-0.12,0.396,0.024,0.16692031703730106
52,-0.123,0.401,-0.042,0.15822097366317803
53,-0.116,0.332,-0.01,0.16158462544738722
54,-0.115,0.309,0.034,0.15239940381191022
55,-0.12,0.07,-0.04,0.06527407007286971
56,-0.122,1.086,0.157,0.41236733829757743
57,-0.111,2.202,0.362,0.8593068800229917
58,-0.097,0.921,0.161,0.3360563764341333
59,-0.114,0.693,0.112,0.2378428907976753
60,-0.12,0.69,0.037,0.25675518335689584
61,-0.119,0.651,0.032,0.23473369055586252
62,-0.12,0.894,0.066,0.32285630456246583
63,-0.122,0.888,0.139,0.3967985520794155
64,-0.123,0.233,-0.037,0.12015035518393583
65,-0.106,0.533,-0.011,0.19575704269197527
66,-0.116,0.533,0.043,0.2316428615663605
67,-0.123,0.442,0.014,0.2198695488167679
68,-0.097,0.672,0.181,0.26693356138632873
69,-0.095,0.795,0.1,0.2680226313601743
70,-0.118,0.291,0.035,0.14886639267268242
71,-0.112,0.142,-0.006,0.07506323193769388
72,-0.118,0.798,0.024,0.2773613692577068
73,-0.122,0.799,0.182,0.35817182176337703
74,-0.122,0.789,0.088,0.2949362863964177
75,-0.102,0.951,0.073,0.32487658093457783
76,-0.106,0.694,0.023,0.24109923658011995
77,-0.12,0.17,-0.028,0.09263517855611829
78,-0.124,0.025,-0.072,0.0475583115459647
79,-0.12,0.532,0.119,0.21080054159891629
80,-0.111,0.594,0.092,0.2541290694867251
81,-0.1,1.048,0.222,0.4340854253290921
82,-0.105,0.997,0.206,0.35925549947952234
83,-0.119,0.336,0.054,0.1392364928290707
84,-0.107,0.622,0.157,0.2256318837214283
85,-0.061,1.684,0.219,0.5213044850016678
86,-0.007,0.937,0.242,0.3362456665738949
87,-0.041,0.935,0.249,0.3254339601703164
88,-0.078,0.816,0.198,0.2759541328018961
89,-0.036,0.463,0.096,0.17166116131503778
90,-0.076,0.953,0.266,0.3425531243630544
91,-0.104,1.255,0.296,0.41001938814099587
92,-0.084,0.454,0.153,0.16680829296892824
93,-0.113,2.016,0.241,0.6739041180584733
94,-0.113,2.175,0.371,0.7026523035673292
95,-0.1,1.228,0.11,0.4120497069542931
96,-0.101,1.054,0.09,0.34685650116475447
97,-0.102,1.031,0.097,0.35602925175160627
98,-0.116,0.725,0.117,0.30491833663435436
99,-0.111,0.313,0.089,0.1621009450904259
