n,m,M,b,loss p1,loss p2,loss p3,loss p4,loss p5,loss p6,loss p7,loss p8,loss p9,loss p10,loss p11,loss p12,loss p13,loss p14,loss p15,loss p16,loss p17,loss p18,loss p19,loss p20,loss p21,loss p22,loss p23,loss p24,loss p25,loss p26,loss p27,loss p28,loss p29,loss p30,loss p31,loss p32,loss p33,loss p34,loss p35,loss p36,loss p37,loss p38,loss p39,loss p40,loss p41,loss p42,loss p43,loss p44,loss p45,loss p46,loss p47,loss p48,loss p49,loss p50,loss p51,loss p52,loss p53,loss p54,loss p55,loss p56,loss p57,loss p58,loss p59,loss p60,loss p61,loss p62,loss p63,loss p64,loss p65,loss p66,loss p67,loss p68,loss p69,loss p70,loss p71,loss p72,loss p73,loss p74,loss p75,loss p76,loss p77,loss p78,loss p79,loss p80,loss p81,loss p82,loss p83,loss p84,loss p85,loss p86,loss p87,loss p88,loss p89,loss p90,loss p91,loss p92,loss p93,loss p94,loss p95,loss p96,loss p97,loss p98,loss p99,loss p100
5,5,5,5,3191.347001338483,3191.347001338483,3190.7924304543494,3182.921639861549,3165.339369882243,3170.715025941561,3145.23701590137,3180.366244901641,3282.9093470325006,3298.778848259607,3251.746396334373,3219.083698147476,3276.2882765731347,3141.565849029005,3109.191183872589,3173.8426240738863,3062.5418269676575,3128.28399069707,3186.922804606475,3170.271993264802,3098.176749082416,3157.169712286318,3216.498774870317,3152.8657817397066,3214.1808905026287,3051.0698503980243,2971.269838347466,3059.7904256130446,2916.5613176109464,2979.9240074891086,3042.654505737054,2962.205071250533,2942.2050274293347,3045.0529569302544,3102.732893314112,3071.371915764221,3010.302315307716,3011.038430463193,3064.360999996211,2928.705860516925,2913.991532172842,2993.760445932172,2953.235181415651,2844.250335506071,2968.6715235446286,3052.432070240653,2943.040050193014,2868.2673607681786,2971.642194777576,2798.1242624791876,2740.750476634075,2749.22296469393,2770.514301824324,2807.8411787323193,2732.8887820219234,2551.8482203723934,2448.1927528097413,2395.6937582312125,2259.061791801236,2197.0352318934074,2116.6606934990946,2212.0115084717413,2199.1382792514814,2102.9008300366377,1994.4379355552223,2009.393670990364,1930.4851519648073,1990.4817110488225,2024.037630261419,1940.8959655185981,2019.3659747521483,2162.8006460662855,2030.6742862086796,2196.2528931445377,2304.795542471647,2247.1003735072454,2033.4790884250585,2018.7419683786645,1969.1540697322857,2010.0974351751847,2037.921383853416,2225.001385922794,2081.5978120090585,2086.075850594622,2108.43506759345,2184.6163492825144,2112.162719833621,2187.52667119938,1979.0665878417371,2280.86702584551,2041.3083498475048,2309.7343401136986,2099.719027279062,2209.408699478457,2177.2544767552927,2258.9197211311375,2192.0320590774636,2205.6401489048785,2122.6321841672006,2241.039203879448
5,5,5,10,1334694.7531746696,1334694.7531746696,1337033.1896801533,1333256.0936074392,1328643.317702487,1324868.5860400174,1328465.4010976541,1334304.8703810347,1338743.5854627972,1335396.6252658984,1341764.3900361322,1346395.982306335,1352626.5942669848,1346719.7722939465,1333001.3691525534,1336714.9347674618,1325226.8817023444,1335901.1667587513,1334709.0574842936,1346017.1012454133,1333192.2253435545,1327966.3719845149,1338093.1680471194,1332785.4123915392,1331253.3067935274,1332865.0358895834,1335349.853831137,1338040.7458847887,1338658.1549646852,1330614.9485938384,1342088.5413512252,1328750.643203392,1331950.3221533606,1343107.8614254643,1337408.5204563176,1331249.6354453035,1344767.591568248,1346093.891789802,1333191.1637799125,1329303.3582546846,1332802.234543018,1335755.7554393604,1335038.7031122942,1329234.5311445175,1335374.6139066156,1329540.7429158278,1320590.1463230117,1315532.6576901912,1332635.1625874734,1341096.914690089,1331769.0914538144,1335664.7953763085,1333092.4225729252,1347847.988341047,1316737.8516772254,1333498.0551713544,1341480.0306481486,1330186.4912724649,1334428.1143487978,1334511.113921474,1325381.0741044518,1320401.8980189594,1326780.5635615014,1335263.6498314505,1330581.0877397489,1325043.0083411518,1326285.5203596258,1335169.3539371628,1330620.38168688,1335130.615282626,1334811.673420673,1322701.5753903626,1322598.306243419,1326014.2218317569,1325567.654955247,1327224.9108809852,1335351.8234119974,1323006.6312164585,1337266.5454447796,1329474.778414653,1324665.8759578355,1322338.7977637989,1327155.6600096137,1329599.9459637792,1327474.0325749307,1325513.1119912409,1326490.9193420296,1325384.3939780262,1322563.17287889,1334415.726802358,1332568.6164116377,1315964.0082742707,1320865.2198286941,1326239.313014823,1314510.133639629,1321625.908730882,1324056.0935022472,1326414.9366796713,1330081.7035119443,1336167.17624178
5,5,5,50,1334694.7531746696,1334694.7531746696,1337033.1896801533,1333256.0936074392,1328643.317702487,1324868.5860400174,1328465.4010976541,1334304.8703810347,1338743.5854627972,1335396.6252658984,1341764.3900361322,1346395.982306335,1352626.5942669848,1346719.7722939465,1333001.3691525534,1336714.9347674618,1325226.8817023444,1335901.1667587513,1334709.0574842936,1346017.1012454133,1333192.2253435545,1327966.3719845149,1338093.1680471194,1332785.4123915392,1331253.3067935274,1332865.0358895834,1335349.853831137,1338040.7458847887,1338658.1549646852,1330614.9485938384,1342088.5413512252,1328750.643203392,1331950.3221533606,1343107.8614254643,1337408.5204563176,1331249.6354453035,1344767.591568248,1346093.891789802,1333191.1637799125,1329303.3582546846,1332802.234543018,1335755.7554393604,1335038.7031122942,1329234.5311445175,1335374.6139066156,1329540.7429158278,1320590.1463230117,1315532.6576901912,1332635.1625874734,1341096.914690089,1331769.0914538144,1335664.7953763085,1333092.4225729252,1347847.988341047,1316737.8516772254,1333498.0551713544,1341480.0306481486,1330186.4912724649,1334428.1143487978,1334511.113921474,1325381.0741044518,1320401.8980189594,1326780.5635615014,1335263.6498314505,1330581.0877397489,1325043.0083411518,1326285.5203596258,1335169.3539371628,1330620.38168688,1335130.615282626,1334811.673420673,1322701.5753903626,1322598.306243419,1326014.2218317569,1325567.654955247,1327224.9108809852,1335351.8234119974,1323006.6312164585,1337266.5454447796,1329474.778414653,1324665.8759578355,1322338.7977637989,1327155.6600096137,1329599.9459637792,1327474.0325749307,1325513.1119912409,1326490.9193420296,1325384.3939780262,1322563.17287889,1334415.726802358,1332568.6164116377,1315964.0082742707,1320865.2198286941,1326239.313014823,1314510.133639629,1321625.908730882,1324056.0935022472,1326414.9366796713,1330081.7035119443,1336167.17624178
5,5,10,5,1334694.7531746696,1334694.7531746696,1337033.1896801533,1333256.0936074392,1328643.317702487,1324868.5860400174,1328465.4010976541,1334304.8703810347,1338743.5854627972,1335396.6252658984,1341764.3900361322,1346395.982306335,1352626.5942669848,1346719.7722939465,1333001.3691525534,1336714.9347674618,1325226.8817023444,1335901.1667587513,1334709.0574842936,1346017.1012454133,1333192.2253435545,1327966.3719845149,1338093.1680471194,1332785.4123915392,1331253.3067935274,1332865.0358895834,1335349.853831137,1338040.7458847887,1338658.1549646852,1330614.9485938384,1342088.5413512252,1328750.643203392,1331950.3221533606,1343107.8614254643,1337408.5204563176,1331249.6354453035,1344767.591568248,1346093.891789802,1333191.1637799125,1329303.3582546846,1332802.234543018,1335755.7554393604,1335038.7031122942,1329234.5311445175,1335374.6139066156,1329540.7429158278,1320590.1463230117,1315532.6576901912,1332635.1625874734,1341096.914690089,1331769.0914538144,1335664.7953763085,1333092.4225729252,1347847.988341047,1316737.8516772254,1333498.0551713544,1341480.0306481486,1330186.4912724649,1334428.1143487978,1334511.113921474,1325381.0741044518,1320401.8980189594,1326780.5635615014,1335263.6498314505,1330581.0877397489,1325043.0083411518,1326285.5203596258,1335169.3539371628,1330620.38168688,1335130.615282626,1334811.673420673,1322701.5753903626,1322598.306243419,1326014.2218317569,1325567.654955247,1327224.9108809852,1335351.8234119974,1323006.6312164585,1337266.5454447796,1329474.778414653,1324665.8759578355,1322338.7977637989,1327155.6600096137,1329599.9459637792,1327474.0325749307,1325513.1119912409,1326490.9193420296,1325384.3939780262,1322563.17287889,1334415.726802358,1332568.6164116377,1315964.0082742707,1320865.2198286941,1326239.313014823,1314510.133639629,1321625.908730882,1324056.0935022472,1326414.9366796713,1330081.7035119443,1336167.17624178
5,5,10,10,1334694.7531746696,1334694.7531746696,1337033.1896801533,1333256.0936074392,1328643.317702487,1324868.5860400174,1328465.4010976541,1334304.8703810347,1338743.5854627972,1335396.6252658984,1341764.3900361322,1346395.982306335,1352626.5942669848,1346719.7722939465,1333001.3691525534,1336714.9347674618,1325226.8817023444,1335901.1667587513,1334709.0574842936,1346017.1012454133,1333192.2253435545,1327966.3719845149,1338093.1680471194,1332785.4123915392,1331253.3067935274,1332865.0358895834,1335349.853831137,1338040.7458847887,1338658.1549646852,1330614.9485938384,1342088.5413512252,1328750.643203392,1331950.3221533606,1343107.8614254643,1337408.5204563176,1331249.6354453035,1344767.591568248,1346093.891789802,1333191.1637799125,1329303.3582546846,1332802.234543018,1335755.7554393604,1335038.7031122942,1329234.5311445175,1335374.6139066156,1329540.7429158278,1320590.1463230117,1315532.6576901912,1332635.1625874734,1341096.914690089,1331769.0914538144,1335664.7953763085,1333092.4225729252,1347847.988341047,1316737.8516772254,1333498.0551713544,1341480.0306481486,1330186.4912724649,1334428.1143487978,1334511.113921474,1325381.0741044518,1320401.8980189594,1326780.5635615014,1335263.6498314505,1330581.0877397489,1325043.0083411518,1326285.5203596258,1335169.3539371628,1330620.38168688,1335130.615282626,1334811.673420673,1322701.5753903626,1322598.306243419,1326014.2218317569,1325567.654955247,1327224.9108809852,1335351.8234119974,1323006.6312164585,1337266.5454447796,1329474.778414653,1324665.8759578355,1322338.7977637989,1327155.6600096137,1329599.9459637792,1327474.0325749307,1325513.1119912409,1326490.9193420296,1325384.3939780262,1322563.17287889,1334415.726802358,1332568.6164116377,1315964.0082742707,1320865.2198286941,1326239.313014823,1314510.133639629,1321625.908730882,1324056.0935022472,1326414.9366796713,1330081.7035119443,1336167.17624178
5,5,10,50,1334694.7531746696,1334694.7531746696,1337033.1896801533,1333256.0936074392,1328643.317702487,1324868.5860400174,1328465.4010976541,1334304.8703810347,1338743.5854627972,1335396.6252658984,1341764.3900361322,1346395.982306335,1352626.5942669848,1346719.7722939465,1333001.3691525534,1336714.9347674618,1325226.8817023444,1335901.1667587513,1334709.0574842936,1346017.1012454133,1333192.2253435545,1327966.3719845149,1338093.1680471194,1332785.4123915392,1331253.3067935274,1332865.0358895834,1335349.853831137,1338040.7458847887,1338658.1549646852,1330614.9485938384,1342088.5413512252,1328750.643203392,1331950.3221533606,1343107.8614254643,1337408.5204563176,1331249.6354453035,1344767.591568248,1346093.891789802,1333191.1637799125,1329303.3582546846,1332802.234543018,1335755.7554393604,1335038.7031122942,1329234.5311445175,1335374.6139066156,1329540.7429158278,1320590.1463230117,1315532.6576901912,1332635.1625874734,1341096.914690089,1331769.0914538144,1335664.7953763085,1333092.4225729252,1347847.988341047,1316737.8516772254,1333498.0551713544,1341480.0306481486,1330186.4912724649,1334428.1143487978,1334511.113921474,1325381.0741044518,1320401.8980189594,1326780.5635615014,1335263.6498314505,1330581.0877397489,1325043.0083411518,1326285.5203596258,1335169.3539371628,1330620.38168688,1335130.615282626,1334811.673420673,1322701.5753903626,1322598.306243419,1326014.2218317569,1325567.654955247,1327224.9108809852,1335351.8234119974,1323006.6312164585,1337266.5454447796,1329474.778414653,1324665.8759578355,1322338.7977637989,1327155.6600096137,1329599.9459637792,1327474.0325749307,1325513.1119912409,1326490.9193420296,1325384.3939780262,1322563.17287889,1334415.726802358,1332568.6164116377,1315964.0082742707,1320865.2198286941,1326239.313014823,1314510.133639629,1321625.908730882,1324056.0935022472,1326414.9366796713,1330081.7035119443,1336167.17624178
5,5,50,5,1334694.7531746696,1334694.7531746696,1337033.1896801533,1333256.0936074392,1328643.317702487,1324868.5860400174,1328465.4010976541,1334304.8703810347,1338743.5854627972,1335396.6252658984,1341764.3900361322,1346395.982306335,1352626.5942669848,1346719.7722939465,1333001.3691525534,1336714.9347674618,1325226.8817023444,1335901.1667587513,1334709.0574842936,1346017.1012454133,1333192.2253435545,1327966.3719845149,1338093.1680471194,1332785.4123915392,1331253.3067935274,1332865.0358895834,1335349.853831137,1338040.7458847887,1338658.1549646852,1330614.9485938384,1342088.5413512252,1328750.643203392,1331950.3221533606,1343107.8614254643,1337408.5204563176,1331249.6354453035,1344767.591568248,1346093.891789802,1333191.1637799125,1329303.3582546846,1332802.234543018,1335755.7554393604,1335038.7031122942,1329234.5311445175,1335374.6139066156,1329540.7429158278,1320590.1463230117,1315532.6576901912,1332635.1625874734,1341096.914690089,1331769.0914538144,1335664.7953763085,1333092.4225729252,1347847.988341047,1316737.8516772254,1333498.0551713544,1341480.0306481486,1330186.4912724649,1334428.1143487978,1334511.113921474,1325381.0741044518,1320401.8980189594,1326780.5635615014,1335263.6498314505,1330581.0877397489,1325043.0083411518,1326285.5203596258,1335169.3539371628,1330620.38168688,1335130.615282626,1334811.673420673,1322701.5753903626,1322598.306243419,1326014.2218317569,1325567.654955247,1327224.9108809852,1335351.8234119974,1323006.6312164585,1337266.5454447796,1329474.778414653,1324665.8759578355,1322338.7977637989,1327155.6600096137,1329599.9459637792,1327474.0325749307,1325513.1119912409,1326490.9193420296,1325384.3939780262,1322563.17287889,1334415.726802358,1332568.6164116377,1315964.0082742707,1320865.2198286941,1326239.313014823,1314510.133639629,1321625.908730882,1324056.0935022472,1326414.9366796713,1330081.7035119443,1336167.17624178
5,5,50,10,1334694.7531746696,1334694.7531746696,1337033.1896801533,1333256.0936074392,1328643.317702487,1324868.5860400174,1328465.4010976541,1334304.8703810347,1338743.5854627972,1335396.6252658984,1341764.3900361322,1346395.982306335,1352626.5942669848,1346719.7722939465,1333001.3691525534,1336714.9347674618,1325226.8817023444,1335901.1667587513,1334709.0574842936,1346017.1012454133,1333192.2253435545,1327966.3719845149,1338093.1680471194,1332785.4123915392,1331253.3067935274,1332865.0358895834,1335349.853831137,1338040.7458847887,1338658.1549646852,1330614.9485938384,1342088.5413512252,1328750.643203392,1331950.3221533606,1343107.8614254643,1337408.5204563176,1331249.6354453035,1344767.591568248,1346093.891789802,1333191.1637799125,1329303.3582546846,1332802.234543018,1335755.7554393604,1335038.7031122942,1329234.5311445175,1335374.6139066156,1329540.7429158278,1320590.1463230117,1315532.6576901912,1332635.1625874734,1341096.914690089,1331769.0914538144,1335664.7953763085,1333092.4225729252,1347847.988341047,1316737.8516772254,1333498.0551713544,1341480.0306481486,1330186.4912724649,1334428.1143487978,1334511.113921474,1325381.0741044518,1320401.8980189594,1326780.5635615014,1335263.6498314505,1330581.0877397489,1325043.0083411518,1326285.5203596258,1335169.3539371628,1330620.38168688,1335130.615282626,1334811.673420673,1322701.5753903626,1322598.306243419,1326014.2218317569,1325567.654955247,1327224.9108809852,1335351.8234119974,1323006.6312164585,1337266.5454447796,1329474.778414653,1324665.8759578355,1322338.7977637989,1327155.6600096137,1329599.9459637792,1327474.0325749307,1325513.1119912409,1326490.9193420296,1325384.3939780262,1322563.17287889,1334415.726802358,1332568.6164116377,1315964.0082742707,1320865.2198286941,1326239.313014823,1314510.133639629,1321625.908730882,1324056.0935022472,1326414.9366796713,1330081.7035119443,1336167.17624178
5,5,50,50,1338061.862814731,1338061.862814731,1335981.9299879265,1339808.4291734234,1342471.0056524812,1331434.8953048966,1344975.2973826947,1337208.0565651376,1331526.2443066696,1340802.9504426152,1343988.156506848,1350988.5913375511,1341833.952013897,1337763.5608704034,1324548.8467686481,1324650.5400478593,1337112.1082751441,1331304.034816422,1320567.8660590658,1316053.3761691977,1321757.0405531223,1334137.0204985682,1331302.4521997317,1335346.0760262436,1330393.6468815592,1323003.492997458,1327422.2672219523,1339949.792167113,1328059.2098919172,1332481.2043939638,1341212.8446877121,1343695.310086631,1343489.4602965259,1336547.992735553,1341076.4196866897,1340084.3426043575,1321360.3374526089,1341030.674594042,1334189.284039542,1336975.0638247714,1332810.3280922584,1337770.1285995827,1336341.0667785234,1328611.7916820096,1336326.170108039,1326176.0829579972,1327091.473774248,1331451.4071257086,1339542.2387894294,1326872.1028478798,1329671.397865025,1319359.494980333,1338049.3286367564,1334419.5336429258,1335043.9442651444,1324636.4190828209,1331232.798171674,1341767.563271368,1329227.9036917938,1342119.5045545837,1320037.552418345,1335828.1215712545,1325414.8574708975,1325851.5466495405,1320121.3031541687,1334591.8524118273,1332883.4670608721,1328520.2499016363,1327935.813175628,1326865.3026208712,1330116.1718405285,1347163.814105247,1322532.5529373311,1341369.0045035619,1324539.1259636388,1327428.567441408,1330653.096048226,1328130.0879861102,1341963.6656836018,1327127.0993792298,1336041.211751244,1323756.305146848,1334182.5842676146,1334330.352203911,1329245.2382448472,1333769.9295278206,1320065.2306316348,1318695.487109344,1342347.873142775,1336360.68527832,1339535.1958067701,1321088.485130902,1335621.8034106938,1320892.730630979,1329544.1004878262,1332695.502989554,1328673.4280594748,1324442.8481348036,1334270.2424830105,1321191.8848488291
5,10,5,5,1326667.0710960818,1326667.0710960818,1326284.7922853252,1329432.138299243,1344801.9151765422,1333619.715666188,1334703.0209835947,1325619.235749405,1336735.1154730984,1334449.7868824485,1333893.8487134534,1337790.535825569,1340936.7255019543,1343442.3072936416,1341844.1790335823,1336895.5189158185,1338838.2452185943,1333708.6943981138,1335786.8340169191,1328283.0289060934,1336077.0739567203,1332593.802112546,1344932.9882631379,1341665.758960569,1333006.397125899,1337493.1499126146,1332129.3717113463,1324519.1640833803,1330532.6096844154,1338332.0219567444,1329920.1133714805,1333130.563834169,1341888.565744108,1340432.927563545,1331970.978768586,1333087.3117984536,1325443.25444565,1323067.4111470361,1331349.8976673542,1339351.1500482236,1332989.7680435553,1332196.9054854424,1336577.170203079,1324275.880585999,1323349.2880152976,1332227.7434360737,1328844.000708389,1326050.1460147314,1329589.8298680894,1338075.531421785,1334475.1717297481,1326860.9295991962,1328971.8475918162,1341305.363544551,1342465.3634306327,1325264.8349602835,1336007.365060835,1326277.1188248747,1326821.6012397609,1324828.5200075593,1321360.966620069,1343470.3706651076,1333648.9785012475,1349346.5756619882,1335973.9089962337,1331240.6275820285,1331773.6180479776,1332492.7861958356,1336515.4357645244,1322003.517541726,1331169.6258418758,1330370.8081557492,1331448.8812021764,1324889.8852310407,1324967.8515109264,1327998.7778468234,1334054.9387833027,1322167.603193345,1322597.6708315427,1325132.5823708086,1338061.6540590248,1329046.904813754,1321340.3169005285,1330074.9325976395,1334541.4752930268,1347486.5295276577,1327186.9222442987,1336738.049471783,1329274.4828389476,1330114.7971061338,1338801.149938062,1320066.9360934678,1325274.796440381,1327561.9290010983,1318411.9229562096,1326962.7451797137,1326877.2781147528,1335937.3399792565,1335941.9909912401,1311479.1272611055
