n,m,M,b,loss p1,loss p2,loss p3,loss p4,loss p5,loss p6,loss p7,loss p8,loss p9,loss p10,loss p11,loss p12,loss p13,loss p14,loss p15,loss p16,loss p17,loss p18,loss p19,loss p20,loss p21,loss p22,loss p23,loss p24,loss p25,loss p26,loss p27,loss p28,loss p29,loss p30,loss p31,loss p32,loss p33,loss p34,loss p35,loss p36,loss p37,loss p38,loss p39,loss p40,loss p41,loss p42,loss p43,loss p44,loss p45,loss p46,loss p47,loss p48,loss p49,loss p50,loss p51,loss p52,loss p53,loss p54,loss p55,loss p56,loss p57,loss p58,loss p59,loss p60,loss p61,loss p62,loss p63,loss p64,loss p65,loss p66,loss p67,loss p68,loss p69,loss p70,loss p71,loss p72,loss p73,loss p74,loss p75,loss p76,loss p77,loss p78,loss p79,loss p80,loss p81,loss p82,loss p83,loss p84,loss p85,loss p86,loss p87,loss p88,loss p89,loss p90,loss p91,loss p92,loss p93,loss p94,loss p95,loss p96,loss p97,loss p98,loss p99,loss p100
5,5,5,5,36071.4059602457,34539.962632032984,36244.94126326525,35334.42446401565,36563.76877473088,34863.512504994826,35574.50023202286,34161.11212672395,35149.05195217913,34470.817757192264,35346.632081907934,34858.1025914295,33713.84990242877,36327.495003567405,33384.6578627365,35849.79501839018,35621.372596644935,35821.25005235453,33966.151099662544,35696.10022423432,34648.985423298356,33783.69154124727,35014.11992973191,34103.45924576134,35716.686071116674,33320.514335349675,36133.397250265625,35756.80464071023,34047.506627439754,34831.980325809134,34791.88953446226,34265.50687184509,34437.474244870085,33998.846954825225,33421.817931919904,33392.01360103978,33995.36422184469,35022.99580712417,35336.96282855923,35977.1845787695,35734.329521845284,35377.02832437438,33513.27783315195,35263.18866616933,33424.382424811876,35444.60953471269,35118.1585155402,34771.10276613349,34064.22825738357,34308.71938745032,35027.1513056528,35831.42785836532,33735.93497595852,34615.91898552061,34793.54141640417,35459.774295197974,32788.0584032417,33419.29717263841,35096.715003258396,32867.80921175885,35967.086279360774,34619.67316229023,33733.21454055103,33482.70193785093,33860.309217337206,34943.20610625555,32547.977779376677,35279.55682175972,34773.40087208233,33968.01591777894,34382.517536477,32756.80377679804,35631.26441096465,35685.09929114597,32175.91966798954,33419.582772179434,35615.99182200434,34475.04275168213,33686.9544084996,34120.716721779005,34104.96300391732,32640.171674602854,33432.91700819763,34745.42384808098,33762.32131166628,32346.650366920105,33297.70150485193,33532.58046441306,32504.94907443797,33598.15875705814,32878.45771999091,34101.89883149006,34441.13590908755,34629.216129359746,33907.9283243494,33845.93861801465,34818.4229114879,32680.325023678084,33652.56325506073,33044.11852528677
5,5,5,10,1334694.7531746696,1319934.276813808,1333068.214977628,1315611.9917015978,1344667.8677066271,1343088.9861181332,1339339.7171710413,1334779.953110472,1342826.4209407761,1335620.417430757,1339688.7244739756,1337600.6148879132,1338536.822287675,1338038.063955463,1327585.1604167072,1331751.0204446856,1344190.118578537,1342203.3383225948,1331300.3243795065,1326505.5676114315,1332665.487489681,1331541.6498523483,1344565.6437399827,1329639.7424085808,1342042.7050162647,1342112.165309706,1333668.58039312,1330332.728392469,1327231.6848937755,1328107.3146173554,1344549.6792764254,1335299.5994099146,1332496.1190359802,1345736.8599079696,1332757.9602161162,1343543.4151634267,1344079.038230879,1334935.9904788195,1336614.542150646,1347471.9889842027,1337180.731436334,1343526.4135267634,1340620.8343559755,1338374.9834643195,1326436.2353135995,1325655.820110709,1336077.1384363056,1342554.0810866384,1332729.4898887048,1330987.8546268712,1334204.0247342063,1335458.7389426474,1324792.0436594374,1332878.6833607934,1340852.381496883,1320277.5261956088,1329745.4240579903,1330944.6899970756,1333549.0689054828,1333981.140172411,1339391.1396672653,1340746.6498797112,1324245.4575784537,1328444.7464362667,1332420.1761429603,1338193.9506352763,1338127.3292008813,1325326.1594805133,1320832.811640597,1328749.6563592236,1338301.8712637862,1327881.8645426782,1328577.3956369387,1330267.7026604814,1339912.1491568692,1337447.8251932268,1337237.3646504483,1328605.1940387266,1341318.2479745683,1338753.4325754575,1341992.023483973,1331333.1121535464,1345460.9889540127,1339167.7613317065,1325565.2860661326,1341462.1154779578,1339595.5776740524,1331348.6567988035,1334939.6574184597,1332365.1843991678,1335383.815844089,1331349.5295387744,1334898.0915116945,1333666.6230899333,1329664.8388500456,1343522.4491742952,1319200.7035610916,1329365.0937490643,1330209.419863776,1333817.7880928477
5,5,5,50,1334694.7531746696,1319934.276813808,1333068.214977628,1315611.9917015978,1344667.8677066271,1343088.9861181332,1339339.7171710413,1334779.953110472,1342826.4209407761,1335620.417430757,1339688.7244739756,1337600.6148879132,1338536.822287675,1338038.063955463,1327585.1604167072,1331751.0204446856,1344190.118578537,1342203.3383225948,1331300.3243795065,1326505.5676114315,1332665.487489681,1331541.6498523483,1344565.6437399827,1329639.7424085808,1342042.7050162647,1342112.165309706,1333668.58039312,1330332.728392469,1327231.6848937755,1328107.3146173554,1344549.6792764254,1335299.5994099146,1332496.1190359802,1345736.8599079696,1332757.9602161162,1343543.4151634267,1344079.038230879,1334935.9904788195,1336614.542150646,1347471.9889842027,1337180.731436334,1343526.4135267634,1340620.8343559755,1338374.9834643195,1326436.2353135995,1325655.820110709,1336077.1384363056,1342554.0810866384,1332729.4898887048,1330987.8546268712,1334204.0247342063,1335458.7389426474,1324792.0436594374,1332878.6833607934,1340852.381496883,1320277.5261956088,1329745.4240579903,1330944.6899970756,1333549.0689054828,1333981.140172411,1339391.1396672653,1340746.6498797112,1324245.4575784537,1328444.7464362667,1332420.1761429603,1338193.9506352763,1338127.3292008813,1325326.1594805133,1320832.811640597,1328749.6563592236,1338301.8712637862,1327881.8645426782,1328577.3956369387,1330267.7026604814,1339912.1491568692,1337447.8251932268,1337237.3646504483,1328605.1940387266,1341318.2479745683,1338753.4325754575,1341992.023483973,1331333.1121535464,1345460.9889540127,1339167.7613317065,1325565.2860661326,1341462.1154779578,1339595.5776740524,1331348.6567988035,1334939.6574184597,1332365.1843991678,1335383.815844089,1331349.5295387744,1334898.0915116945,1333666.6230899333,1329664.8388500456,1343522.4491742952,1319200.7035610916,1329365.0937490643,1330209.419863776,1333817.7880928477
5,5,10,5,1334694.7531746696,1319934.276813808,1333068.214977628,1315611.9917015978,1344667.8677066271,1343088.9861181332,1339339.7171710413,1334779.953110472,1342826.4209407761,1335620.417430757,1339688.7244739756,1337600.6148879132,1338536.822287675,1338038.063955463,1327585.1604167072,1331751.0204446856,1344190.118578537,1342203.3383225948,1331300.3243795065,1326505.5676114315,1332665.487489681,1331541.6498523483,1344565.6437399827,1329639.7424085808,1342042.7050162647,1342112.165309706,1333668.58039312,1330332.728392469,1327231.6848937755,1328107.3146173554,1344549.6792764254,1335299.5994099146,1332496.1190359802,1345736.8599079696,1332757.9602161162,1343543.4151634267,1344079.038230879,1334935.9904788195,1336614.542150646,1347471.9889842027,1337180.731436334,1343526.4135267634,1340620.8343559755,1338374.9834643195,1326436.2353135995,1325655.820110709,1336077.1384363056,1342554.0810866384,1332729.4898887048,1330987.8546268712,1334204.0247342063,1335458.7389426474,1324792.0436594374,1332878.6833607934,1340852.381496883,1320277.5261956088,1329745.4240579903,1330944.6899970756,1333549.0689054828,1333981.140172411,1339391.1396672653,1340746.6498797112,1324245.4575784537,1328444.7464362667,1332420.1761429603,1338193.9506352763,1338127.3292008813,1325326.1594805133,1320832.811640597,1328749.6563592236,1338301.8712637862,1327881.8645426782,1328577.3956369387,1330267.7026604814,1339912.1491568692,1337447.8251932268,1337237.3646504483,1328605.1940387266,1341318.2479745683,1338753.4325754575,1341992.023483973,1331333.1121535464,1345460.9889540127,1339167.7613317065,1325565.2860661326,1341462.1154779578,1339595.5776740524,1331348.6567988035,1334939.6574184597,1332365.1843991678,1335383.815844089,1331349.5295387744,1334898.0915116945,1333666.6230899333,1329664.8388500456,1343522.4491742952,1319200.7035610916,1329365.0937490643,1330209.419863776,1333817.7880928477
5,5,10,10,1334694.7531746696,1319934.276813808,1333068.214977628,1315611.9917015978,1344667.8677066271,1343088.9861181332,1339339.7171710413,1334779.953110472,1342826.4209407761,1335620.417430757,1339688.7244739756,1337600.6148879132,1338536.822287675,1338038.063955463,1327585.1604167072,1331751.0204446856,1344190.118578537,1342203.3383225948,1331300.3243795065,1326505.5676114315,1332665.487489681,1331541.6498523483,1344565.6437399827,1329639.7424085808,1342042.7050162647,1342112.165309706,1333668.58039312,1330332.728392469,1327231.6848937755,1328107.3146173554,1344549.6792764254,1335299.5994099146,1332496.1190359802,1345736.8599079696,1332757.9602161162,1343543.4151634267,1344079.038230879,1334935.9904788195,1336614.542150646,1347471.9889842027,1337180.731436334,1343526.4135267634,1340620.8343559755,1338374.9834643195,1326436.2353135995,1325655.820110709,1336077.1384363056,1342554.0810866384,1332729.4898887048,1330987.8546268712,1334204.0247342063,1335458.7389426474,1324792.0436594374,1332878.6833607934,1340852.381496883,1320277.5261956088,1329745.4240579903,1330944.6899970756,1333549.0689054828,1333981.140172411,1339391.1396672653,1340746.6498797112,1324245.4575784537,1328444.7464362667,1332420.1761429603,1338193.9506352763,1338127.3292008813,1325326.1594805133,1320832.811640597,1328749.6563592236,1338301.8712637862,1327881.8645426782,1328577.3956369387,1330267.7026604814,1339912.1491568692,1337447.8251932268,1337237.3646504483,1328605.1940387266,1341318.2479745683,1338753.4325754575,1341992.023483973,1331333.1121535464,1345460.9889540127,1339167.7613317065,1325565.2860661326,1341462.1154779578,1339595.5776740524,1331348.6567988035,1334939.6574184597,1332365.1843991678,1335383.815844089,1331349.5295387744,1334898.0915116945,1333666.6230899333,1329664.8388500456,1343522.4491742952,1319200.7035610916,1329365.0937490643,1330209.419863776,1333817.7880928477
5,5,10,50,1334694.7531746696,1319934.276813808,1333068.214977628,1315611.9917015978,1344667.8677066271,1343088.9861181332,1339339.7171710413,1334779.953110472,1342826.4209407761,1335620.417430757,1339688.7244739756,1337600.6148879132,1338536.822287675,1338038.063955463,1327585.1604167072,1331751.0204446856,1344190.118578537,1342203.3383225948,1331300.3243795065,1326505.5676114315,1332665.487489681,1331541.6498523483,1344565.6437399827,1329639.7424085808,1342042.7050162647,1342112.165309706,1333668.58039312,1330332.728392469,1327231.6848937755,1328107.3146173554,1344549.6792764254,1335299.5994099146,1332496.1190359802,1345736.8599079696,1332757.9602161162,1343543.4151634267,1344079.038230879,1334935.9904788195,1336614.542150646,1347471.9889842027,1337180.731436334,1343526.4135267634,1340620.8343559755,1338374.9834643195,1326436.2353135995,1325655.820110709,1336077.1384363056,1342554.0810866384,1332729.4898887048,1330987.8546268712,1334204.0247342063,1335458.7389426474,1324792.0436594374,1332878.6833607934,1340852.381496883,1320277.5261956088,1329745.4240579903,1330944.6899970756,1333549.0689054828,1333981.140172411,1339391.1396672653,1340746.6498797112,1324245.4575784537,1328444.7464362667,1332420.1761429603,1338193.9506352763,1338127.3292008813,1325326.1594805133,1320832.811640597,1328749.6563592236,1338301.8712637862,1327881.8645426782,1328577.3956369387,1330267.7026604814,1339912.1491568692,1337447.8251932268,1337237.3646504483,1328605.1940387266,1341318.2479745683,1338753.4325754575,1341992.023483973,1331333.1121535464,1345460.9889540127,1339167.7613317065,1325565.2860661326,1341462.1154779578,1339595.5776740524,1331348.6567988035,1334939.6574184597,1332365.1843991678,1335383.815844089,1331349.5295387744,1334898.0915116945,1333666.6230899333,1329664.8388500456,1343522.4491742952,1319200.7035610916,1329365.0937490643,1330209.419863776,1333817.7880928477
5,5,50,5,1334694.7531746696,1319934.276813808,1333068.214977628,1315611.9917015978,1344667.8677066271,1343088.9861181332,1339339.7171710413,1334779.953110472,1342826.4209407761,1335620.417430757,1339688.7244739756,1337600.6148879132,1338536.822287675,1338038.063955463,1327585.1604167072,1331751.0204446856,1344190.118578537,1342203.3383225948,1331300.3243795065,1326505.5676114315,1332665.487489681,1331541.6498523483,1344565.6437399827,1329639.7424085808,1342042.7050162647,1342112.165309706,1333668.58039312,1330332.728392469,1327231.6848937755,1328107.3146173554,1344549.6792764254,1335299.5994099146,1332496.1190359802,1345736.8599079696,1332757.9602161162,1343543.4151634267,1344079.038230879,1334935.9904788195,1336614.542150646,1347471.9889842027,1337180.731436334,1343526.4135267634,1340620.8343559755,1338374.9834643195,1326436.2353135995,1325655.820110709,1336077.1384363056,1342554.0810866384,1332729.4898887048,1330987.8546268712,1334204.0247342063,1335458.7389426474,1324792.0436594374,1332878.6833607934,1340852.381496883,1320277.5261956088,1329745.4240579903,1330944.6899970756,1333549.0689054828,1333981.140172411,1339391.1396672653,1340746.6498797112,1324245.4575784537,1328444.7464362667,1332420.1761429603,1338193.9506352763,1338127.3292008813,1325326.1594805133,1320832.811640597,1328749.6563592236,1338301.8712637862,1327881.8645426782,1328577.3956369387,1330267.7026604814,1339912.1491568692,1337447.8251932268,1337237.3646504483,1328605.1940387266,1341318.2479745683,1338753.4325754575,1341992.023483973,1331333.1121535464,1345460.9889540127,1339167.7613317065,1325565.2860661326,1341462.1154779578,1339595.5776740524,1331348.6567988035,1334939.6574184597,1332365.1843991678,1335383.815844089,1331349.5295387744,1334898.0915116945,1333666.6230899333,1329664.8388500456,1343522.4491742952,1319200.7035610916,1329365.0937490643,1330209.419863776,1333817.7880928477
5,5,50,10,1334694.7531746696,1319934.276813808,1333068.214977628,1315611.9917015978,1344667.8677066271,1343088.9861181332,1339339.7171710413,1334779.953110472,1342826.4209407761,1335620.417430757,1339688.7244739756,1337600.6148879132,1338536.822287675,1338038.063955463,1327585.1604167072,1331751.0204446856,1344190.118578537,1342203.3383225948,1331300.3243795065,1326505.5676114315,1332665.487489681,1331541.6498523483,1344565.6437399827,1329639.7424085808,1342042.7050162647,1342112.165309706,1333668.58039312,1330332.728392469,1327231.6848937755,1328107.3146173554,1344549.6792764254,1335299.5994099146,1332496.1190359802,1345736.8599079696,1332757.9602161162,1343543.4151634267,1344079.038230879,1334935.9904788195,1336614.542150646,1347471.9889842027,1337180.731436334,1343526.4135267634,1340620.8343559755,1338374.9834643195,1326436.2353135995,1325655.820110709,1336077.1384363056,1342554.0810866384,1332729.4898887048,1330987.8546268712,1334204.0247342063,1335458.7389426474,1324792.0436594374,1332878.6833607934,1340852.381496883,1320277.5261956088,1329745.4240579903,1330944.6899970756,1333549.0689054828,1333981.140172411,1339391.1396672653,1340746.6498797112,1324245.4575784537,1328444.7464362667,1332420.1761429603,1338193.9506352763,1338127.3292008813,1325326.1594805133,1320832.811640597,1328749.6563592236,1338301.8712637862,1327881.8645426782,1328577.3956369387,1330267.7026604814,1339912.1491568692,1337447.8251932268,1337237.3646504483,1328605.1940387266,1341318.2479745683,1338753.4325754575,1341992.023483973,1331333.1121535464,1345460.9889540127,1339167.7613317065,1325565.2860661326,1341462.1154779578,1339595.5776740524,1331348.6567988035,1334939.6574184597,1332365.1843991678,1335383.815844089,1331349.5295387744,1334898.0915116945,1333666.6230899333,1329664.8388500456,1343522.4491742952,1319200.7035610916,1329365.0937490643,1330209.419863776,1333817.7880928477
5,5,50,50,1337943.2299725467,1330934.6006528954,1334571.5219648476,1332993.8031008278,1323919.5430900792,1340300.000056788,1338778.255573029,1340389.7989626948,1326028.4788059483,1332445.4575860384,1336958.743252679,1335595.0318660007,1329910.5050147926,1333133.255307621,1334838.5001163832,1333377.1337981997,1343543.3876115656,1323832.1135201752,1336203.0765326296,1328788.5668374219,1340335.9194628047,1325515.1960663514,1320162.218664494,1343093.2912169374,1316553.6054343136,1327671.8964502977,1330058.075489935,1343005.943387687,1335579.6437676295,1331373.1094447002,1323868.0754723002,1323802.2125773826,1345307.3106513512,1341549.8411581968,1335207.8154546304,1316511.1210803299,1337253.643437467,1337451.8129150115,1339648.2261717725,1330636.915532471,1336828.0665106834,1316585.7689761613,1346046.7573616237,1332941.6245772322,1326324.8980002936,1334356.7802455188,1328487.2748683332,1330572.7242147157,1342138.1178796906,1331394.4281209668,1321304.6950046774,1330578.910651639,1335514.6722743586,1334941.826837701,1338583.7580898984,1327153.815716019,1335539.345404667,1338208.3268455097,1338274.0151870803,1329166.6198369067,1325733.2062063941,1336929.874825132,1329949.8201280625,1320549.5550617704,1343327.063193971,1332959.3292185455,1328918.1433045429,1332296.8688969088,1327758.9824109566,1340098.085481354,1315463.6992839284,1327651.8574169613,1325537.981318488,1344551.1227884046,1328602.3936543919,1330944.3503362255,1324697.149991377,1326240.0703278263,1335437.3047107023,1332331.5840922422,1346584.1330461008,1339761.2387447027,1337096.6929969012,1334994.3481434144,1336686.2634445091,1334576.19783578,1328649.3023371773,1333011.1561080292,1330117.6456144226,1336345.176561212,1331499.4539142859,1327553.498245637,1329275.974090936,1325174.7227148495,1341379.5936681142,1328763.4517455038,1337280.0795828097,1334286.8769015612,1337469.4286623516,1323279.6436016578
5,10,5,5,1328210.6698050823,1323963.0793101788,1334434.1912218747,1347661.804731162,1333559.413460672,1338313.419973813,1346692.716519689,1332782.829966606,1334270.7719125722,1337726.9324889353,1335059.3206517012,1333172.933317346,1335352.4173045969,1334519.4368806446,1332996.98864853,1342395.1483338275,1341817.5386057438,1323340.145039872,1336308.331110969,1331987.531483816,1330630.0619296622,1342637.7378483738,1328911.6098513966,1336564.3441245516,1321304.4430516025,1328702.3322995508,1328366.4672134484,1335744.4504377076,1323627.7346267488,1337098.2373382489,1330778.878149693,1333556.362052405,1336453.1821790757,1332841.439251925,1333907.7194279735,1341966.6407519316,1325779.987490215,1337076.2833980229,1340255.238705508,1337470.9024712276,1319383.0811859462,1319733.5764192296,1330508.1954982153,1330161.5518611937,1347122.242171851,1322984.8807853654,1328101.6358726865,1330923.605036673,1336311.422721513,1342157.5832208127,1342244.7707627034,1343857.8171780878,1340372.9299614932,1334799.235087538,1344756.2480499286,1330428.1198868917,1343528.4308934633,1335397.407507048,1337240.2268417093,1345181.0861524788,1340087.0140730964,1322116.9522942058,1328668.9769427874,1322509.2747306582,1336150.3408778368,1339651.1042465672,1327993.7537536265,1327863.2759825666,1314730.4297972238,1332442.6441794534,1327472.0452536056,1350753.734137327,1348635.4740495319,1317313.763911324,1326052.7095692253,1332579.3297853493,1324358.4846324744,1331064.3317770453,1337132.127469455,1349751.0243913548,1340904.0463001144,1326510.2318722277,1326821.30172568,1342233.9018329277,1348151.8225671072,1336559.9557966115,1337774.7685501461,1338193.8739089558,1332177.255824736,1328878.9770086291,1327273.4631199592,1335210.669525437,1340922.8260909251,1335374.3467688395,1328390.666108245,1333355.4520960636,1340816.7428708696,1331266.5467769501,1325451.3449020237,1339082.889619621
