Key,Iteration,Min,Max,Average,Std. Dev.
"pop=300, k=250, n=300, seed=1234",0,422580.77704163746,336839.44093874,530126.5419651178,0.0
"pop=300, k=250, n=300, seed=1234",1,417870.56860068586,330477.5069251442,518551.15137148515,3180.9670067979023
"pop=300, k=250, n=300, seed=1234",2,410885.1930754702,324197.3025910193,507241.03649415495,5161.167319238906
"pop=300, k=250, n=300, seed=1234",3,403559.05522228795,318732.1175530607,502255.84176524496,6779.732719976703
"pop=300, k=250, n=300, seed=1234",4,392601.11415899475,312652.117149887,497155.65486079303,8505.210818195026
"pop=300, k=250, n=300, seed=1234",5,379197.8129458637,299115.29656891874,487971.51903085964,12261.430932523604
"pop=300, k=250, n=300, seed=1234",6,373328.68073430174,290102.20374204445,480244.96677040734,15517.438118118174
"pop=300, k=250, n=300, seed=1234",7,367347.91819028143,285106.5679082233,473867.1281415903,17753.647040404416
"pop=300, k=250, n=300, seed=1234",8,361450.1791905153,280193.6885734748,470297.4472353904,19520.458094551926
"pop=300, k=250, n=300, seed=1234",9,351465.8244392055,270642.8705682101,457876.2171821201,21739.88768995046
"pop=300, k=250, n=300, seed=1234",10,346499.8986950711,264855.9768039636,451801.1585079579,23697.206912306472
"pop=300, k=250, n=300, seed=1234",11,339188.44531386683,260840.89589698563,438278.49553475395,25279.004966622677
"pop=300, k=250, n=300, seed=1234",12,330479.4868000232,255976.23361444927,430381.8553061351,26723.674918075896
"pop=300, k=250, n=300, seed=1234",13,318873.03048872086,247624.99271849453,422710.94289565884,28451.199997581465
"pop=300, k=250, n=300, seed=1234",14,309888.4076043911,237038.9265724447,418861.7398106345,30631.657614679305
"pop=300, k=250, n=300, seed=1234",15,301249.604488357,226620.49820137757,408103.54598873184,33131.92411361113
"pop=300, k=250, n=300, seed=1234",16,294667.1281921177,221873.09331460897,394608.6029206498,35292.49692759933
"pop=300, k=250, n=300, seed=1234",17,286344.45566780993,215588.7815566153,385795.9083335876,37352.33904112662
