Key,Iteration,Min,Max,Average,Std. Dev.
"pop=300, k=300, n=200, seed=1234",0,1.9412850329052442e+23,4.437099937017425e+25,6.913353772198426e+24,7.586109756449006e+24
"pop=300, k=300, n=200, seed=1234",1,3.76875994380039e+23,3.393050445673499e+26,2.8712100099121853e+25,4.971079460722839e+25
"pop=300, k=300, n=200, seed=1234",2,3.7234355226019785e+23,1.9447993910546153e+27,3.2629007450906915e+25,1.3163045698085439e+26
"pop=300, k=300, n=200, seed=1234",3,3.7234355226019785e+23,6.618551907451492e+26,2.5917521203421493e+25,6.2198374592693325e+25
"pop=300, k=300, n=200, seed=1234",4,3.700058178559393e+23,7.741656457259934e+26,2.9885949605496263e+25,8.271178712072455e+25
"pop=300, k=300, n=200, seed=1234",5,3.63582182657266e+23,3.4210373825418636e+26,1.3121335790342376e+25,3.3525821203172178e+25
"pop=300, k=300, n=200, seed=1234",6,3.597294198270667e+23,1.1055964710514344e+26,6.382922304012738e+24,1.579411710780209e+25
"pop=300, k=300, n=200, seed=1234",7,3.525202536501964e+23,1.6485020666266555e+26,2.949010173522906e+24,1.5074360378977408e+25
"pop=300, k=300, n=200, seed=1234",8,3.4164760360786725e+23,3.885283458349627e+23,3.6779308858898235e+23,6.829922856859661e+21
"pop=300, k=300, n=200, seed=1234",9,3.295993594942644e+23,3.979186328106887e+23,3.6098882468322343e+23,8.953891978628134e+21
"pop=300, k=300, n=200, seed=1234",10,3.099503063174875e+23,3.87847751436524e+23,3.518974655258103e+23,1.0419852039113534e+22
"pop=300, k=300, n=200, seed=1234",11,2.975376965816123e+23,3.8847097909272306e+23,3.4091221311124935e+23,1.3770343712361934e+22
"pop=300, k=300, n=200, seed=1234",12,2.7633620176739154e+23,3.9313193635043904e+23,3.2810747747530374e+23,1.6700127971553346e+22
"pop=300, k=300, n=200, seed=1234",13,2.4378633150463833e+23,3.825476714317235e+23,3.143396959016459e+23,2.1830846544016516e+22
"pop=300, k=300, n=200, seed=1234",14,2.18638216221671e+23,4.135595239888828e+23,2.9568246620509828e+23,2.6674257163827647e+22
"pop=300, k=300, n=200, seed=1234",15,1.9947504405578094e+23,3.9189756133561346e+23,2.716360628208458e+23,2.9393284320631533e+22
