Key,Iteration,Min,Max,Average,Std. Dev.
"k=100, n=1000, seed=1234",0,4.000050733119182e+23,3.883376815191914e+24,1.2376126177764934e+24,5.1069946148277006e+23
"k=100, n=1000, seed=1234",1,3.995984878877528e+23,2.956454235167334e+25,5.232655049745333e+24,5.818487826481833e+24
"k=100, n=1000, seed=1234",2,3.982689227685921e+23,7.888841383142351e+25,6.582377845184959e+24,8.461679937781999e+24
"k=100, n=1000, seed=1234",3,3.973499449766141e+23,8.452297596422662e+25,8.639834666452136e+24,1.3244578263529694e+25
"k=100, n=1000, seed=1234",4,3.976852746894704e+23,7.257401468537301e+25,7.68195920327334e+24,1.2485722482275083e+25
"k=100, n=1000, seed=1234",5,3.955606931238064e+23,5.129510076601159e+25,4.487779028358931e+24,6.443722536779121e+24
"k=100, n=1000, seed=1234",6,3.9465363510873145e+23,3.741497578209354e+25,3.614894723820384e+24,5.292338790531596e+24
"k=100, n=1000, seed=1234",7,3.923050466874331e+23,2.4956465872743984e+25,1.1941879870600842e+24,3.0882162566139063e+24
"k=100, n=1000, seed=1234",8,3.89651997839338e+23,4.0905437329089334e+23,3.981915552383648e+23,2.911645813507856e+21
"k=100, n=1000, seed=1234",9,3.828072941446317e+23,4.0627030839513806e+23,3.954063183286584e+23,3.637408445773178e+21
"k=100, n=1000, seed=1234",10,3.8014949880518274e+23,4.037584833760159e+23,3.919085714637645e+23,4.3169254878220135e+21
