Key,Iteration,Min,Max,Average,Std. Dev.
"pop=300, k=1, n=300, seed=1234",0,5286.828058863781,4832.8251847795145,5595.8230123884005,0.0
"pop=300, k=1, n=300, seed=1234",1,5227.783018722783,4828.049486077477,5594.687052215781,2.387849351018758
"pop=300, k=1, n=300, seed=1234",2,5140.096963935818,4747.558137287145,5580.692760608559,39.11824512685951
"pop=300, k=1, n=300, seed=1234",3,5048.334974121705,4678.363841474201,5501.55932816212,63.65143520832575
"pop=300, k=1, n=300, seed=1234",4,4911.165417256675,4564.255785760183,5414.697477405923,100.63023842486255
"pop=300, k=1, n=300, seed=1234",5,4743.348659984694,4311.125203663763,5232.654753746624,181.19631162128442
"pop=300, k=1, n=300, seed=1234",6,4669.7922445607555,4244.155834656728,5192.342038196886,222.15633707051177
"pop=300, k=1, n=300, seed=1234",7,4594.83993294527,4168.2659747160915,5120.994846023929,252.30273533088942
"pop=300, k=1, n=300, seed=1234",8,4521.256214085837,4101.026061062725,4997.419265691258,276.0652391642781
"pop=300, k=1, n=300, seed=1234",9,4396.474056629414,3900.5493028710844,4876.455827938876,317.2380038949274
"pop=300, k=1, n=300, seed=1234",10,4334.163402999539,3821.680812553283,4824.307518809553,350.49167850606835
"pop=300, k=1, n=300, seed=1234",11,4242.657704372941,3672.873952070939,4793.778025586781,388.56077091373095
"pop=300, k=1, n=300, seed=1234",12,4133.385585384772,3552.462448610378,4772.422808277196,425.999801055664
"pop=300, k=1, n=300, seed=1234",13,3987.9064758855,3403.8055253988214,4725.60173361403,466.3831903132336
"pop=300, k=1, n=300, seed=1234",14,3875.3880936401383,3284.195294235257,4685.412567763834,505.38902727955633
"pop=300, k=1, n=300, seed=1234",15,3767.32440251383,3116.4569121935583,4663.7340111176945,548.5701028951447
"pop=300, k=1, n=300, seed=1234",16,3685.17365008843,3047.2261927736695,4565.373520032772,584.7269438591014
"pop=300, k=1, n=300, seed=1234",17,3581.24996031725,2958.264348434025,4465.783653780441,617.7639831053859
"pop=300, k=1, n=300, seed=1234",18,3517.4632644386,2906.4374030502113,4422.201832463915,645.4604687443993
"pop=300, k=1, n=300, seed=1234",19,3428.3065921088255,2808.8756094692353,4290.187637803987,672.722545816831
"pop=300, k=1, n=300, seed=1234",20,3319.3005457228455,2676.6702199748424,4179.102742686408,702.2584036914075
"pop=300, k=1, n=300, seed=1234",21,3233.573940568828,2589.020501469737,4126.306052291509,730.4149488441631
"pop=300, k=1, n=300, seed=1234",22,3121.1799079698817,2454.787818809036,4056.4258663151872,760.7129053643296
"pop=300, k=1, n=300, seed=1234",23,3045.673932075016,2395.548140516314,4006.05778699362,787.7686683682491
"pop=300, k=1, n=300, seed=1234",24,2943.7345780368355,2309.1871991639405,3941.719783700315,813.9486619639761
"pop=300, k=1, n=300, seed=1234",25,2859.6561906038887,2255.704173275995,3882.3855798864797,837.4933507607127
"pop=300, k=1, n=300, seed=1234",26,2775.074250662935,2185.060196180589,3850.1173901940506,859.8700804298979
"pop=300, k=1, n=300, seed=1234",27,2647.169153799768,2051.1544922593603,3755.6748048414884,884.732071341681
"pop=300, k=1, n=300, seed=1234",28,2595.773987505316,2020.9585408468847,3749.049582937368,906.2436310441234
"pop=300, k=1, n=300, seed=1234",29,2544.6551200645467,1936.9955507104085,3645.6251029954137,927.6688198573173
"pop=300, k=1, n=300, seed=1234",30,2456.7349093153566,1863.3154390837533,3547.6224102386086,948.5409116596725
