Key,Iteration,Min,Max,Average,Std. Dev.
"pop=300, k=50, n=200, seed=1234",0,59707.83734813503,45532.338989292184,74214.8842215776,0.0
"pop=300, k=50, n=200, seed=1234",1,58826.76804060521,44234.73246404946,73536.0304050744,648.8032626213608
"pop=300, k=50, n=200, seed=1234",2,57293.127232112776,42837.99619667753,72257.11313322943,1100.2089689922598
"pop=300, k=50, n=200, seed=1234",3,55730.38467128254,41878.11968586707,71279.9365066113,1385.6957503110593
"pop=300, k=50, n=200, seed=1234",4,54355.146201075244,40966.28150771099,69579.72142952125,1632.0399592903555
"pop=300, k=50, n=200, seed=1234",5,52745.611182009176,40130.79607261351,68100.2855190759,1853.584580819847
"pop=300, k=50, n=200, seed=1234",6,50985.44249484964,38648.90378462385,66506.16436734614,2203.029758977598
"pop=300, k=50, n=200, seed=1234",7,49713.07781372252,37145.18401407953,65372.83287783729,2619.0538630947262
"pop=300, k=50, n=200, seed=1234",8,47803.916584148195,35537.681908071674,64242.69733418036,3084.9337492481473
"pop=300, k=50, n=200, seed=1234",9,45824.82629235312,33760.075185716305,61646.703194850495,3603.4886408133643
"pop=300, k=50, n=200, seed=1234",10,44916.61418780943,33344.72165814348,60930.81857817033,3942.0208867218957
"pop=300, k=50, n=200, seed=1234",11,43673.943066936095,32168.912413738137,58945.85029473985,4277.970055844486
"pop=300, k=50, n=200, seed=1234",12,42764.09584696535,31380.886922064037,57143.3301466984,4566.5358502152685
"pop=300, k=50, n=200, seed=1234",13,41871.28064545737,30677.69830984131,54995.884787482806,4815.743308149377
"pop=300, k=50, n=200, seed=1234",14,40318.59545893368,28963.799253432193,53516.406894844695,5140.888382177553
"pop=300, k=50, n=200, seed=1234",15,38102.572154851485,27120.69828045839,50881.861871822046,5537.817298691869
"pop=300, k=50, n=200, seed=1234",16,36040.59364739388,25594.64318112271,49457.38319841638,5955.877553308836
"pop=300, k=50, n=200, seed=1234",17,33561.18991128483,23447.166517213205,47928.40575835055,6450.53609312899
"pop=300, k=50, n=200, seed=1234",18,32757.767619629583,22773.535273213878,46228.6031665394,6863.171871710456
"pop=300, k=50, n=200, seed=1234",19,31670.80483224559,21472.15586323236,44739.89542776447,7269.932015216165
"pop=300, k=50, n=200, seed=1234",20,30720.004308334945,20296.520848012515,43919.616982271546,7661.853640251207
"pop=300, k=50, n=200, seed=1234",21,29997.574120796293,19528.73814512679,42881.988334908434,8011.579331902987
"pop=300, k=50, n=200, seed=1234",22,29162.715852059642,18452.612555085412,41803.10866158357,8350.534091701327
"pop=300, k=50, n=200, seed=1234",23,28236.201710539797,18067.408674064143,40408.253800047314,8635.50982820628
"pop=300, k=50, n=200, seed=1234",24,26931.026405851506,17079.15278893589,38462.08101675435,8915.21490107634
"pop=300, k=50, n=200, seed=1234",25,25917.74557651084,16005.301663590772,37767.15943437786,9195.895916180105
"pop=300, k=50, n=200, seed=1234",26,24790.401354742902,14782.13950900445,37296.67356629195,9486.240624299135
"pop=300, k=50, n=200, seed=1234",27,23531.890490273174,13800.044589377121,35449.73871718972,9771.304052279389
"pop=300, k=50, n=200, seed=1234",28,22424.186077440143,13024.114631855577,33984.11590272558,10041.013132415008
"pop=300, k=50, n=200, seed=1234",29,21435.65808189497,12469.42414745072,33706.081227055234,10286.812503260171
"pop=300, k=50, n=200, seed=1234",30,20170.64406128569,11705.042428043846,32416.835017637535,10522.933963321184
"pop=300, k=50, n=200, seed=1234",31,18379.293348256982,9837.888118027295,31008.608710680845,10804.019729680587
"pop=300, k=50, n=200, seed=1234",32,16616.75647196563,8481.181699215618,29916.040081640414,11100.52727627761
"pop=300, k=50, n=200, seed=1234",33,15373.329902528896,7723.675809760791,28805.167819772152,11382.136376671375
"pop=300, k=50, n=200, seed=1234",34,13831.876715707236,6611.100342578455,27454.53905393835,11667.206161181788
"pop=300, k=50, n=200, seed=1234",35,12620.581278556654,5865.608607741667,26840.43100085645,11939.096193572264
"pop=300, k=50, n=200, seed=1234",36,11301.96077134398,5160.638037386208,25456.79646614863,12197.97399514523
"pop=300, k=50, n=200, seed=1234",37,10548.67290432465,4774.319077369184,24455.18079638295,12432.777451266455
"pop=300, k=50, n=200, seed=1234",38,9560.652101510746,4361.341189860672,22907.59847611457,12647.976031355936
"pop=300, k=50, n=200, seed=1234",39,8452.75952932038,4110.581884768469,21664.71361967462,12840.347561781246
"pop=300, k=50, n=200, seed=1234",40,7573.009897619965,4019.6107598073568,20534.84697118571,13007.527127219273
"pop=300, k=50, n=200, seed=1234",41,7041.25274629594,4028.102302631253,19299.55352123186,13149.760826394266
"pop=300, k=50, n=200, seed=1234",42,6462.204159453794,4064.998254142098,18181.582953344794,13269.579293373403
"pop=300, k=50, n=200, seed=1234",43,6050.766937746033,4054.0744959144945,17753.092548327153,13371.333345795007
"pop=300, k=50, n=200, seed=1234",44,5474.665392925778,3956.231152550837,17044.44194765693,13459.70396360498
"pop=300, k=50, n=200, seed=1234",45,4963.710830525419,3885.359118027968,15865.221676866877,13535.591832162341
"pop=300, k=50, n=200, seed=1234",46,4580.21684096433,3993.607047039249,13636.692931876396,13595.97693717338
"pop=300, k=50, n=200, seed=1234",47,4440.009291156103,3995.868853685911,11231.010435946024,13645.267098227945
"pop=300, k=50, n=200, seed=1234",48,4349.909247417321,4004.001420038918,10232.482982830963,13684.607800708594
"pop=300, k=50, n=200, seed=1234",49,4289.651923025196,4093.6447909303297,9281.942724596645,13713.349759264704
"pop=300, k=50, n=200, seed=1234",50,4257.516139066823,4074.4684711311065,7949.131546756381,13734.965350120474
"pop=300, k=50, n=200, seed=1234",51,4248.721253904664,3960.798073933465,6148.547168217224,13752.136717362651
"pop=300, k=50, n=200, seed=1234",52,4231.91604706591,3999.31316492465,5114.440784853236,13762.3784108352
"pop=300, k=50, n=200, seed=1234",53,4217.259419055636,4062.1308598213527,4862.183693584209,13765.980642921502
"pop=300, k=50, n=200, seed=1234",54,4219.116091840902,4073.3334814459,4587.455693810193,13764.573643273425
"pop=300, k=50, n=200, seed=1234",55,4217.486351834431,4069.4634926871363,4531.796098725719,13758.941806712162
"pop=300, k=50, n=200, seed=1234",56,4214.880941944681,4042.8729568739755,4410.228332050397,13749.903691294752
"pop=300, k=50, n=200, seed=1234",57,4210.646859290114,4067.330867593087,4355.649798514563,13736.986960607011
"pop=300, k=50, n=200, seed=1234",58,4215.705206744197,4040.316454627395,4603.957584988926,13721.392353373436
"pop=300, k=50, n=200, seed=1234",59,4206.263727739438,4042.340081444353,4628.653832546082,13702.957261702455
"pop=300, k=50, n=200, seed=1234",60,4218.510790493341,4029.587544190799,4500.446271715862,13682.188379850042
"pop=300, k=50, n=200, seed=1234",61,4207.937585813375,4032.891166889447,4471.170471895012,13659.097194334194
"pop=300, k=50, n=200, seed=1234",62,4216.973288103907,4033.613469613004,4600.7458392110075,13633.955992767047
"pop=300, k=50, n=200, seed=1234",63,4207.838100734838,4094.911358661755,4577.57716331829,13606.163673569696
"pop=300, k=50, n=200, seed=1234",64,4220.9282302503225,4013.8332191157215,4570.979587948689,13577.832339314713
"pop=300, k=50, n=200, seed=1234",65,4214.799220497718,4073.604341324894,4512.315977267303,13547.25722110343
"pop=300, k=50, n=200, seed=1234",66,4213.587064801072,4055.760343016906,4453.844033548594,13515.61190305196
"pop=300, k=50, n=200, seed=1234",67,4225.677343988542,4075.2744253244778,4565.072093870479,13482.56947806281
"pop=300, k=50, n=200, seed=1234",68,4219.128685413207,4036.3425872001762,4550.7240229706695,13448.955835358038
"pop=300, k=50, n=200, seed=1234",69,4225.646737969043,4071.539072877625,4554.142211865735,13414.006829589747
"pop=300, k=50, n=200, seed=1234",70,4217.92722190549,4071.6456112778696,4499.676307273423,13378.246226962636
"pop=300, k=50, n=200, seed=1234",71,4222.71504777968,3991.7355867966003,4573.24226619389,13342.634054236067
"pop=300, k=50, n=200, seed=1234",72,4215.590140509866,4018.340104641871,4564.847236865427,13306.066845245305
"pop=300, k=50, n=200, seed=1234",73,4223.826408721702,4057.8308230293155,4581.851400456764,13268.513629848036
"pop=300, k=50, n=200, seed=1234",74,4219.095863033017,4068.4174152118344,4694.048641331735,13230.366665399384
"pop=300, k=50, n=200, seed=1234",75,4209.666863571103,4075.823488716742,4537.476440869511,13191.72962874
"pop=300, k=50, n=200, seed=1234",76,4214.482250872924,4018.0772748767317,4605.652422454829,13153.290910354772
"pop=300, k=50, n=200, seed=1234",77,4224.79162433395,4030.3692993328677,4897.3343787627455,13114.410316301275
"pop=300, k=50, n=200, seed=1234",78,4218.704274548642,4100.943249197091,4785.783058341409,13074.613713399764
"pop=300, k=50, n=200, seed=1234",79,4216.654669428504,4092.316178597638,4543.117478477494,13034.697315685256
"pop=300, k=50, n=200, seed=1234",80,4222.118306948701,4045.14878237663,4567.181964591613,12995.033932106686
"pop=300, k=50, n=200, seed=1234",81,4216.821484575815,4121.216859198354,4501.679998717805,12954.580294349895
"pop=300, k=50, n=200, seed=1234",82,4218.8626212040135,4108.778928206866,4482.778185843098,12914.15245031342
"pop=300, k=50, n=200, seed=1234",83,4224.751036651446,4104.082094693246,4747.918987564538,12873.711247702946
"pop=300, k=50, n=200, seed=1234",84,4217.665141478216,4107.258351012852,4779.999805712813,12833.219329299614
"pop=300, k=50, n=200, seed=1234",85,4219.844290238575,4079.5498218864864,4448.1670624022,12792.946724156009
"pop=300, k=50, n=200, seed=1234",86,4215.841993483377,4113.730099210326,4521.308153230688,12752.427116705847
"pop=300, k=50, n=200, seed=1234",87,4226.431723254627,4057.739623900158,4577.093402822044,12712.379397513154
"pop=300, k=50, n=200, seed=1234",88,4223.079085766579,4114.0501813137735,4728.429272084549,12671.965598117142
"pop=300, k=50, n=200, seed=1234",89,4214.772622246445,4097.854473424048,4439.685966808557,12631.755356560861
"pop=300, k=50, n=200, seed=1234",90,4217.235240474581,4082.6964545158035,4546.867938937629,12591.751055375325
"pop=300, k=50, n=200, seed=1234",91,4215.725499975244,4066.3311681040136,4711.44254529377,12551.97031552385
"pop=300, k=50, n=200, seed=1234",92,4215.936359601514,4087.488141818606,4696.334580898515,12512.16217769652
"pop=300, k=50, n=200, seed=1234",93,4226.157136241086,4074.7155521943478,4612.594985565199,12472.576724652203
