Key,Iteration,Min,Max,Average,Std. Dev.
"pop=300, k=50, n=100, seed=1234",1,30721.033333333333,23790,39731,2839.4748052155232
"pop=300, k=50, n=100, seed=1234",2,41517.138749161626,23763.349621626254,59107.83429223779,5754.890844548415
"pop=300, k=50, n=100, seed=1234",3,71059.02767929644,23755.33985102889,106067.95438179669,10074.094287933796
"pop=300, k=50, n=100, seed=1234",4,48632.99515463822,23752.66382037759,68144.80577122825,6669.3522647839245
"pop=300, k=50, n=100, seed=1234",5,28104.769466263155,20840.249409159933,43685.87340562164,3888.0523015396097
"pop=300, k=50, n=100, seed=1234",6,28526.812845821994,17020.40497285883,53525.503278302815,6522.186839847127
"pop=300, k=50, n=100, seed=1234",7,46342.29850905841,22121.225721532093,94200.03101174039,10949.378288091675
"pop=300, k=50, n=100, seed=1234",8,59913.86265251668,31348.339741210057,81591.67135821185,10836.784425415963
"pop=300, k=50, n=100, seed=1234",9,52971.17040402086,36799.445912358504,82425.18039056104,6466.91613499651
"pop=300, k=50, n=100, seed=1234",10,41823.65319370849,29756.27749432793,57482.312764846574,4684.096046711823
"pop=300, k=50, n=100, seed=1234",11,39799.57008085458,32581.555613257577,63405.26582871557,3803.335687749953
"pop=300, k=50, n=100, seed=1234",12,43791.59972070274,35368.68983482195,59991.775209903135,3783.016846172888
"pop=300, k=50, n=100, seed=1234",13,45884.24618610526,38592.31756874267,60788.064238581355,3360.2627570832456
"pop=300, k=50, n=100, seed=1234",14,44312.57165250048,38225.31540852709,56676.37209698733,2460.472782691785
"pop=300, k=50, n=100, seed=1234",15,42239.57546747961,37349.79695055341,51576.42904709315,2069.4653350841745
"pop=300, k=50, n=100, seed=1234",16,41534.20383479752,37255.93936180679,53075.28624367438,1658.7095638266023
"pop=300, k=50, n=100, seed=1234",17,42000.63282974286,37426.66453031728,53225.421961541884,1496.5483103876797
"pop=300, k=50, n=100, seed=1234",18,42404.603236149596,38138.75167407579,47629.267820684036,1242.2023170700454
"pop=300, k=50, n=100, seed=1234",19,42123.31750428659,39235.86093683439,47353.34455116171,1004.9734086664902
"pop=300, k=50, n=100, seed=1234",20,41697.3442906666,38698.83556762368,44191.734331393345,768.1552755095993
"pop=300, k=50, n=100, seed=1234",21,41650.62601976199,38819.43994098648,44949.15299108149,696.9760839609709
"pop=300, k=50, n=100, seed=1234",22,41789.64075154282,39270.41180591416,43954.25032039977,551.639128894563
"pop=300, k=50, n=100, seed=1234",23,41851.869855763915,40213.90157785981,44446.61797624321,501.86311459059345
"pop=300, k=50, n=100, seed=1234",24,41761.12601324361,40350.52355245488,44406.698359985516,452.3834043605563
"pop=300, k=50, n=100, seed=1234",25,41705.74425356696,40347.968967568864,43424.13211486993,339.5123378857328
"pop=300, k=50, n=100, seed=1234",26,41694.83367939066,40679.773787371014,44295.88943707131,318.3330664135447
"pop=300, k=50, n=100, seed=1234",27,41698.54574583082,40394.732567251565,42893.39940802987,245.71749236944348
"pop=300, k=50, n=100, seed=1234",28,41706.42558528484,39772.67992074412,42664.0242095826,243.58420445386622
"pop=300, k=50, n=100, seed=1234",29,41700.302163052926,40825.1334879183,42463.43970790085,173.12741908926304
"pop=300, k=50, n=100, seed=1234",30,41688.38894575394,40856.4021720948,43404.91292155044,190.35643655470037
"pop=300, k=50, n=100, seed=1234",31,41681.45691157162,40598.71338519994,42372.12505191916,122.91664890814168
"pop=300, k=50, n=100, seed=1234",32,41674.98133637222,40611.48780878956,41994.38939740947,118.04405014495734
"pop=300, k=50, n=100, seed=1234",33,41679.427974199985,40651.40729294868,42055.63972392762,100.398484562795
"pop=300, k=50, n=100, seed=1234",34,41684.98229261834,41368.26104430046,42435.97195577183,87.16186615182637
"pop=300, k=50, n=100, seed=1234",35,41687.587201204056,41373.51880908147,42911.21275542467,99.55269108762361
"pop=300, k=50, n=100, seed=1234",36,41683.00775932543,41182.52990184753,41922.9430219334,56.771058726112706
"pop=300, k=50, n=100, seed=1234",37,41679.24821408438,41005.92271051292,42115.97629641115,63.09011389549869
"pop=300, k=50, n=100, seed=1234",38,41679.5122676004,41424.89082076215,42152.08667082102,43.193731254712965
"pop=300, k=50, n=100, seed=1234",39,41679.55307519866,41447.69509241551,41923.242250861076,35.352196780056126
"pop=300, k=50, n=100, seed=1234",40,41679.914104379495,41404.031179710626,41979.246424621444,34.209972541171595
"pop=300, k=50, n=100, seed=1234",41,41680.23939818703,41440.36452372111,41822.85988278394,26.279094433241234
"pop=300, k=50, n=100, seed=1234",42,41681.69821540243,41447.39592254414,41841.092625258316,26.09045864210103
"pop=300, k=50, n=100, seed=1234",43,41682.32203966949,41543.02761971979,41900.93439543081,22.080637349034095
"pop=300, k=50, n=100, seed=1234",44,41682.07581497099,41465.12999105829,42090.95102927782,31.570993792221287
"pop=300, k=50, n=100, seed=1234",45,41680.50577199085,41463.58783792618,41827.383734320334,19.17453806697092
"pop=300, k=50, n=100, seed=1234",46,41681.419268881764,41420.25912438709,42002.18561536639,25.259473899538865
"pop=300, k=50, n=100, seed=1234",47,41681.28276872466,41455.67833744111,41980.854085012594,23.73618780319599
"pop=300, k=50, n=100, seed=1234",48,41682.09167535559,41633.38738989483,41902.02966189325,18.74467319836314
"pop=300, k=50, n=100, seed=1234",49,41681.4605482216,41594.36409244136,41913.26521748056,15.391862020409635
"pop=300, k=50, n=100, seed=1234",50,41680.42066633695,41587.58974465296,41725.663555071376,8.019559594347527
"pop=300, k=50, n=100, seed=1234",51,41680.14548801834,41575.79744985196,41740.63086079741,8.758688024787215
"pop=300, k=50, n=100, seed=1234",52,41680.347347675466,41629.598398730515,41726.95988804095,5.26367260824096
"pop=300, k=50, n=100, seed=1234",53,41680.97047319279,41666.49765929303,41744.6021523534,4.3406690260578245
"pop=300, k=50, n=100, seed=1234",54,41681.0541585008,41657.737105137676,41792.29241186037,6.949968683871037
"pop=300, k=50, n=100, seed=1234",55,41680.54846324754,41642.92812593601,41696.69527765411,2.8214005424064155
"pop=300, k=50, n=100, seed=1234",56,41680.61108322548,41627.29139282848,41707.911256605985,3.8755198334735077
"pop=300, k=50, n=100, seed=1234",57,41680.88053728223,41669.85790873338,41707.542368280956,2.484933763459378
"pop=300, k=50, n=100, seed=1234",58,41680.7138949035,41655.47306195718,41705.144990699104,2.192254685305542
"pop=300, k=50, n=100, seed=1234",59,41680.56056140902,41660.238654014,41685.816880799284,1.5947847473918997
"pop=300, k=50, n=100, seed=1234",60,41680.55769823498,41645.58324615924,41695.66845376617,2.4090372577889894
"pop=300, k=50, n=100, seed=1234",61,41680.58139698105,41641.59527762981,41692.01605533462,2.447333761789071
"pop=300, k=50, n=100, seed=1234",62,41680.76142591624,41677.06902394251,41691.01551260285,0.9832362535915229
"pop=300, k=50, n=100, seed=1234",63,41680.79691111743,41675.60849845768,41714.47708356146,2.0648664675669726
"pop=300, k=50, n=100, seed=1234",64,41680.62474075113,41676.21918794703,41683.105269219464,0.5136798002064036
"pop=300, k=50, n=100, seed=1234",65,41680.57499638701,41663.14204618004,41684.445247706186,1.213610255014276
"pop=300, k=50, n=100, seed=1234",66,41680.67481486719,41674.47054811774,41685.087362017504,0.6208476217172965
"pop=300, k=50, n=100, seed=1234",67,41680.681892416476,41676.09467007516,41683.906184333624,0.4209013233653542
"pop=300, k=50, n=100, seed=1234",68,41680.67870499248,41677.66450521244,41685.16938652066,0.3682717060614715
"pop=300, k=50, n=100, seed=1234",69,41680.692922147275,41678.86657290663,41684.205179503784,0.3393255730863252
"pop=300, k=50, n=100, seed=1234",70,41680.65873802854,41678.49420819952,41681.256526042394,0.19322620295169038
"pop=300, k=50, n=100, seed=1234",71,41680.66031634935,41678.39899022596,41681.922351565634,0.21060438367084963
"pop=300, k=50, n=100, seed=1234",72,41680.66418342887,41678.37534765033,41682.210010287614,0.18484537668660184
"pop=300, k=50, n=100, seed=1234",73,41680.678369890775,41680.20506739917,41682.37764219224,0.1280917237630678
"pop=300, k=50, n=100, seed=1234",74,41680.680689951776,41679.76889825208,41683.324775649264,0.173227906195084
"pop=300, k=50, n=100, seed=1234",75,41680.66912432706,41679.48415739662,41682.42347297939,0.1323786655420943
"pop=300, k=50, n=100, seed=1234",76,41680.65764619045,41679.558646377234,41680.77600604149,0.09633749701648807
"pop=300, k=50, n=100, seed=1234",77,41680.664721130925,41679.140520902096,41681.10852563839,0.09593036371181551
"pop=300, k=50, n=100, seed=1234",78,41680.67442936582,41680.12098840486,41681.436923355686,0.06548425797496003
"pop=300, k=50, n=100, seed=1234",79,41680.67611838098,41680.62479851893,41681.30771621477,0.05309011390202371
"pop=300, k=50, n=100, seed=1234",80,41680.67094511876,41680.163858450636,41681.82740478027,0.07513913223742925
"pop=300, k=50, n=100, seed=1234",81,41680.665953105105,41679.99641624748,41680.75888779167,0.04387650457175077
"pop=300, k=50, n=100, seed=1234",82,41680.67075128964,41680.08927814067,41681.2491378246,0.049289119758060565
"pop=300, k=50, n=100, seed=1234",83,41680.67060899854,41680.17799831026,41680.96652569046,0.03726062007858635
"pop=300, k=50, n=100, seed=1234",84,41680.66848959306,41680.3495745236,41680.75852809162,0.02249079950488793
"pop=300, k=50, n=100, seed=1234",85,41680.66845493133,41680.464123772814,41680.72919210614,0.015623372127699351
"pop=300, k=50, n=100, seed=1234",86,41680.66991911979,41680.62283746915,41680.87568561564,0.013515898202098735
"pop=300, k=50, n=100, seed=1234",87,41680.670848414484,41680.6232754854,41680.90583838026,0.01602533571065667
"pop=300, k=50, n=100, seed=1234",88,41680.66961735376,41680.57705224146,41680.732856140225,0.007862355453759143
"pop=300, k=50, n=100, seed=1234",89,41680.66885243654,41680.52611973746,41680.70329356697,0.009818372907911916
"pop=300, k=50, n=100, seed=1234",90,41680.66919213462,41680.57605373912,41680.70932150558,0.007067551411843366
"pop=300, k=50, n=100, seed=1234",91,41680.66976091233,41680.63922046615,41680.72984508267,0.00497505587680909
"pop=300, k=50, n=100, seed=1234",92,41680.66998379011,41680.61244421316,41680.727351479894,0.00628388602090764
"pop=300, k=50, n=100, seed=1234",93,41680.67003092353,41680.62356125039,41680.72115638294,0.00560283568542283
"pop=300, k=50, n=100, seed=1234",94,41680.669969911454,41680.6405969752,41680.75921052897,0.0060612390287447014
"pop=300, k=50, n=100, seed=1234",95,41680.66978295527,41680.64231753966,41680.71270393465,0.003481099913803802
"pop=300, k=50, n=100, seed=1234",96,41680.66955472243,41680.648314731276,41680.68354296197,0.001790911001934008
"pop=300, k=50, n=100, seed=1234",97,41680.669535955654,41680.65342402715,41680.68160420408,0.0016294139797987087
"pop=300, k=50, n=100, seed=1234",98,41680.669672627075,41680.66197682243,41680.6790998107,0.000964678620312776
"pop=300, k=50, n=100, seed=1234",99,41680.669678058235,41680.66530040441,41680.681842377,0.0009262109559739732
"pop=300, k=50, n=100, seed=1234",100,41680.66964106048,41680.66024804894,41680.68106778043,0.001037858441201794
