Iteration,Min,Max,Average,Std. Dev.
0,1.526,11.555,4.929,2.3690819436276693
1,1.526,11.555,4.929,2.3690819436276693
2,1.516,11.215,4.71,2.2783207765015017
3,1.507,11.104,4.267,2.1055439526297834
4,1.496,11.066,3.852,1.955405435635606
5,1.496,10.421,3.39,1.799125683807036
6,1.496,9.789,3.021,1.6913588313892562
7,1.496,8.345,2.564,1.418998085373311
8,1.503,7.399,2.241,1.2130633473872665
9,1.496,6.695,2.042,0.9977815986867761
10,1.497,5.502,1.842,0.7528210931366602
11,1.496,3.56,1.702,0.43274019946131953
12,1.496,2.398,1.599,0.1819767045861531
13,1.496,2.662,1.574,0.19693646049920158
14,1.496,2.996,1.575,0.25104039160248176
15,1.496,2.679,1.543,0.16925233744466428
16,1.496,2.128,1.53,0.09122095054259183
17,1.496,1.753,1.528,0.052046104969697755
18,1.496,1.775,1.53,0.060839506993946586
19,1.496,1.68,1.529,0.050740357656336686
20,1.496,1.65,1.521,0.03597524977838578
21,1.496,1.668,1.524,0.042554794778604604
22,1.496,1.618,1.515,0.031381394864652606
23,1.496,1.863,1.533,0.06569119894307854
24,1.496,1.829,1.527,0.06653030574012
25,1.496,1.819,1.53,0.06617064689290204
26,1.496,1.701,1.524,0.05156391054817852
27,1.496,1.777,1.533,0.06798627686693617
28,1.496,1.791,1.531,0.059598769866485435
29,1.496,1.773,1.527,0.05811534498569233
30,1.496,1.763,1.529,0.06045118692676381
31,1.496,1.901,1.523,0.06589800223360619
32,1.496,2.083,1.552,0.1183795901250416
33,1.496,2.193,1.536,0.1128919441882474
34,1.496,1.905,1.558,0.09748889072416238
35,1.496,2.164,1.56,0.15277604390212735
36,1.496,2.183,1.567,0.14916787972711848
37,1.496,1.949,1.533,0.07850510308424505
38,1.496,2.2,1.557,0.14097600180560055
39,1.496,2.21,1.557,0.13989409274091308
40,1.496,1.663,1.522,0.03702967291141843
41,1.496,2.374,1.546,0.13887598891625375
42,1.496,2.583,1.543,0.16006839270973458
43,1.496,1.767,1.524,0.051713862669348215
44,1.496,2.026,1.538,0.09672406446163213
45,1.496,2.312,1.55,0.14098413529381296
46,1.496,1.779,1.54,0.08195323720710991
47,1.496,1.732,1.543,0.06566613773425978
48,1.496,1.807,1.54,0.06947587270306808
49,1.496,2.09,1.559,0.12099857028679015
50,1.496,2.059,1.566,0.1236518102978848
51,1.496,1.891,1.544,0.09202945492160114
52,1.496,1.661,1.521,0.042111954247019606
53,1.496,1.762,1.523,0.05623745155029162
54,1.496,1.736,1.53,0.05743387685500466
55,1.496,1.951,1.551,0.0870106605580318
56,1.496,1.992,1.543,0.09921621255536485
57,1.496,1.889,1.552,0.09086057346975736
58,1.496,1.906,1.533,0.07734850851244629
59,1.496,2.007,1.525,0.07764898400848459
60,1.496,2.546,1.562,0.18255305248254056
61,1.496,2.722,1.564,0.1958163818250128
62,1.496,2.637,1.545,0.16580447123301284
63,1.496,1.661,1.518,0.03931347774891764
64,1.496,2.797,1.568,0.21484950903702318
65,1.496,3.308,1.583,0.27283696962728976
66,1.496,2.876,1.552,0.2083436443232654
67,1.496,2.819,1.575,0.2098574543089616
68,1.496,1.911,1.543,0.0971049492008651
69,1.496,1.907,1.531,0.0734904469009971
70,1.496,1.892,1.542,0.08189715915753686
71,1.496,1.76,1.522,0.046589976138216596
72,1.496,1.823,1.532,0.05846512336216211
73,1.496,1.715,1.523,0.04579706493615608
74,1.496,1.863,1.538,0.0789545499200951
75,1.496,1.859,1.54,0.0837506437920785
76,1.496,1.689,1.528,0.052226974086129044
77,1.496,1.753,1.529,0.06379408859401468
78,1.496,1.985,1.552,0.09698230378677955
79,1.496,1.952,1.55,0.09985381745247227
80,1.496,1.887,1.547,0.0926928348594734
81,1.496,1.922,1.552,0.09608576217022446
82,1.496,2.018,1.546,0.09052056818959517
83,1.496,1.888,1.54,0.07609920563589795
84,1.496,1.722,1.529,0.05568659658658211
85,1.496,1.886,1.537,0.07424703904287884
86,1.496,2.075,1.532,0.09796614176099676
87,1.496,2.03,1.557,0.10813341042926596
88,1.496,1.799,1.533,0.06449139355527975
89,1.496,1.747,1.532,0.05421446177510774
90,1.496,1.797,1.535,0.06379535046223278
91,1.496,2.188,1.554,0.11184328506312735
92,1.496,2.228,1.544,0.11393145029179537
93,1.496,2.139,1.551,0.12397641806067501
94,1.496,2.017,1.56,0.11520234012884943
95,1.496,1.778,1.535,0.06508521503216111
96,1.496,1.72,1.528,0.05078927066451001
97,1.496,1.706,1.53,0.04765806936990281
98,1.496,1.856,1.535,0.0750025074151364
99,1.496,1.946,1.531,0.07951573881340253
