Iteration,Min,Max,Average,Std. Dev.
0,1.639,19.734,9.093,6.119611718451688
1,1.639,19.734,9.093,6.119611718451688
2,1.633,19.733,9.069,6.106895264418375
3,1.617,19.692,9.011,6.066958708297652
4,1.61,19.666,8.925,5.994755734531136
5,1.608,19.564,8.867,5.9391733238045346
6,1.6,19.452,8.79,5.8703413958926856
7,1.571,19.315,8.691,5.794313602215945
8,1.542,19.26,8.603,5.7546326084789365
9,1.48,19.22,8.529,5.759243675310371
10,1.415,19.158,8.433,5.753134844556063
11,1.36,19.053,8.333,5.679758042246419
12,1.313,19.006,8.221,5.624879061754067
13,1.304,18.918,8.152,5.592835009817755
14,1.27,18.916,8.09,5.566760003603194
15,1.243,18.903,8.034,5.550169467703905
16,1.184,18.874,7.985,5.554985986783257
17,1.172,18.783,7.899,5.492968763744877
18,1.126,18.737,7.763,5.457590759635395
19,1.058,18.629,7.571,5.36466580465062
20,0.972,18.515,7.43,5.278359056820404
21,0.951,18.359,7.279,5.158527730037691
22,0.916,18.133,7.198,5.1099215072560185
23,0.902,17.926,7.098,5.015885870586794
24,0.843,17.864,7.04,4.991528420446064
25,0.804,17.847,6.969,4.924274359476875
26,0.774,17.745,6.846,4.784294556525912
27,0.71,17.549,6.698,4.623212812246308
28,0.698,17.432,6.556,4.497018332196055
29,0.667,17.246,6.397,4.387989801014365
30,0.655,17.131,6.307,4.338687854121195
31,0.644,17.102,6.221,4.315824921602135
32,0.653,16.732,6.123,4.2198521885805835
33,0.683,16.056,5.983,4.03101096584981
34,0.701,14.922,5.834,3.7278308040308326
35,0.757,13.722,5.672,3.3897501135002712
36,0.806,12.943,5.557,3.161445344215569
37,0.897,12.574,5.492,3.032141309989376
38,1.046,12.541,5.48,2.9923167674091284
39,1.193,12.503,5.458,2.9549857539404623
40,1.364,12.457,5.444,2.9118558431532944
41,1.426,12.391,5.433,2.887313784451557
42,1.442,11.941,5.379,2.7627379748882404
43,1.497,11.376,5.303,2.599218191493116
44,1.513,11.312,5.271,2.5647657947042575
45,1.576,10.732,5.199,2.3845513988197427
46,1.856,10.606,5.211,2.2977094441238224
47,1.999,10.183,5.165,2.1533872545520487
48,2.207,9.652,5.107,1.9812626602494858
49,2.46,9.436,5.082,1.8689716311209157
50,2.875,8.757,5.048,1.6353839664282293
51,3.001,8.734,5.039,1.6126005012471187
52,3.161,8.422,5.012,1.5058323724075093
53,3.298,8.245,4.983,1.430729925051503
54,3.474,7.566,4.916,1.244135082236123
55,3.608,7.009,4.849,1.1126757588205485
56,3.62,6.955,4.815,1.064909488844742
57,3.734,6.747,4.765,0.9520229760995752
58,3.739,6.123,4.662,0.7569850421694299
59,3.669,6.045,4.616,0.6685974905883183
60,3.638,5.425,4.514,0.46608555595550744
61,3.645,4.658,4.337,0.2874433940602287
62,3.248,4.578,4.168,0.42113540739150424
63,2.214,4.513,3.994,0.6775750240220699
64,1.707,4.509,3.861,0.8064575409133216
65,1.612,4.41,3.729,0.7938434952275347
66,1.594,4.185,3.608,0.7494575160713064
67,1.569,4.002,3.423,0.6908878214157363
68,1.475,3.829,3.2,0.6877081076539125
69,1.416,3.549,2.976,0.6408782205964614
70,1.347,3.341,2.783,0.6173265253625552
71,1.337,3.098,2.623,0.5609758775345567
72,1.339,3.028,2.457,0.4991969805512831
73,1.348,2.84,2.285,0.4257431708397995
74,1.351,2.708,2.139,0.35070247884235156
75,1.37,2.574,2.009,0.30147148112906746
76,1.379,2.475,1.902,0.30415334124281257
77,1.421,2.306,1.786,0.253133026388864
78,1.481,2.292,1.674,0.23878604253728414
79,1.345,2.098,1.542,0.208232560920579
80,1.051,1.82,1.427,0.19242073385960187
81,0.983,1.613,1.325,0.18669494610036863
82,0.956,1.469,1.235,0.14545449173388336
83,0.929,1.4,1.191,0.13057934300521362
84,0.907,1.257,1.109,0.102468939456381
85,0.888,1.192,1.002,0.10753302704786409
86,0.771,1.19,0.906,0.11356334825099502
87,0.617,1.132,0.823,0.13977645655443613
88,0.557,1.024,0.754,0.12586047072707907
89,0.577,0.959,0.714,0.10180589462257277
90,0.591,0.892,0.669,0.08694570942736783
91,0.534,0.705,0.617,0.054096976204062064
92,0.413,0.593,0.546,0.05042274870731685
93,0.336,0.563,0.463,0.06913597651675335
94,0.326,0.553,0.412,0.06449818520017701
95,0.315,0.509,0.366,0.059379053821162306
96,0.3,0.497,0.347,0.06075759552337418
97,0.303,0.449,0.331,0.04356023794200165
98,0.296,0.347,0.316,0.016362218573851527
99,0.287,0.317,0.305,0.008831982763844438
